xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	2.9416615856344057
1983	3.5107068558283214
1984	0.94198338567314677
1985	1.2035357065015213
1986	1.3519433754745653
1987	5.4112914121996418
1988	1.7826933254214237
1989	0.67742470125070620
1990	0.66846862857021105
1991	2.7887989245173355
1992	4.8808859183460909
1993	2.4442524885845964
1994	0.71286315186737115
1995	3.4993845637153971
1996	-0.71688726827267590
1997	3.5235210776680521
1998	3.1524809633777879
1999	1.4678483809599037
2000	1.3999005512773597
2001	3.5962067345089119
2002	2.8409449404915810
2003	3.2118122768430517
2004	3.9769127959059483
2005	3.2901919393062804
2006	1.0352627032201767
2007	1.9683516942428803
2008	0.78730424944923683
2009	2.1452604811494225
2010	3.4810391531052081
2011	0.11140156546564972
2012	-2.8450090578457985
2013	-0.40513605617390347
2014	-0.51988403863527388
2015	-6.2467457266321524E-002
2016	1.7055443476378911
