xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	5.2103592295008223
1983	1.6490842323939692
1984	3.3856474947001964
1985	4.2912964285647179
1986	5.6763941273928324
1987	8.3295887711900125
1988	2.5739834719698869
1989	3.8761131058420411
1990	4.1153783534647648
1991	3.6304061813774195
1992	2.8537903343688722
1993	-5.4083155165427481
1994	5.7030739980475342
1995	3.2504105877800384
1996	3.2946345838174489
1997	5.1959746459573424
1998	3.3425254675275564
1999	0.39852973177350970
2000	4.2555423749478969
2001	-2.1360486355199044
2002	4.4031656522252609
2003	6.9067295960471728
2004	4.5012172303441211
2005	3.0263821816402428
2006	4.7207732027363658
2007	3.0896064887618611
2008	-0.25453258697766534
2009	1.5237358722896182
2010	-1.2676699409633572
2011	1.0685338284087051
2012	2.3305606670584398
2013	2.1583779205351594
2014	-6.2704814011504073
2015	5.4529277466257788
2016	2.4457335738658230
