Y	M	Lead	P-Y	P-M	Streamflow_CV
1982 01 0 1982 01 221.4
1983 01 0 1983 01 136.3
1984 01 0 1984 01 104.8
1985 01 0 1985 01 1506
1986 01 0 1986 01 143.4
1987 01 0 1987 01 538.2
1988 01 0 1988 01 272.1
1989 01 0 1989 01 225.8
1990 01 0 1990 01 156.9
1991 01 0 1991 01 223.399
1992 01 0 1992 01 842.8
1993 01 0 1993 01 326.898
1994 01 0 1994 01 171.4
1995 01 0 1995 01 253.6
1996 01 0 1996 01 127.3
1997 01 0 1997 01 147.3
1998 01 0 1998 01 262.5
1999 01 0 1999 01 228.501
2000 01 0 2000 01 143.099
2001 01 0 2001 01 523.999
2002 01 0 2002 01 235.3
2003 01 0 2003 01 180.8
2004 01 0 2004 01 171.499
2005 01 0 2005 01 312.799
2006 01 0 2006 01 130.899
2007 01 0 2007 01 138.6
2008 01 0 2008 01 207.5
2009 01 0 2009 01 104.7
2010 01 0 2010 01 523.501
2011 01 0 2011 01 122.7
2012 01 0 2012 01 124.3
2013 01 0 2013 01 91.8998
2014 01 0 2014 01 91.1001
2015 01 0 2015 01 82.9003
2016 01 0 2016 01 146.6
1982 01 1 1982 01 259.492
1983 01 1 1983 01 190.813
1984 01 1 1984 01 128.959
1985 01 1 1985 01 604.453
1986 01 1 1986 01 157.332
1987 01 1 1987 01 506.1
1988 01 1 1988 01 283.909
1989 01 1 1989 01 176.963
1990 01 1 1990 01 190.691
1991 01 1 1991 01 218.237
1992 01 1 1992 01 1239.77
1993 01 1 1993 01 306.045
1994 01 1 1994 01 172.037
1995 01 1 1995 01 259.94
1996 01 1 1996 01 166.269
1997 01 1 1997 01 310.37
1998 01 1 1998 01 277.273
1999 01 1 1999 01 228.512
2000 01 1 2000 01 153.624
2001 01 1 2001 01 401.645
2002 01 1 2002 01 266.902
2003 01 1 2003 01 214.549
2004 01 1 2004 01 173.524
2005 01 1 2005 01 326.873
2006 01 1 2006 01 145.865
2007 01 1 2007 01 128.075
2008 01 1 2008 01 230.956
2009 01 1 2009 01 128.115
2010 01 1 2010 01 173.959
2011 01 1 2011 01 121.572
2012 01 1 2012 01 91.2866
2013 01 1 2013 01 74.1476
2014 01 1 2014 01 137.715
2015 01 1 2015 01 81.8563
2016 01 1 2016 01 177.626
1982 01 2 1982 02 324.035
1983 01 2 1983 02 227.476
1984 01 2 1984 02 186.643
