M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.9030812,0,0.9288889,0,35,26
01,1,0.8854342,0.5282096,0.9049573,0.5206865,35,26
01,2,0.1882353,0,0.9220513,0.4232366,35,26
01,3,0.1663866,0,0.9275214,0.4399567,35,26
01,4,0.2112045,0,0.9323077,0.4307786,35,26

02,0,0.7736695,0.1162407,0.8012422,0.1895295,35,22
02,1,0.659944,0.08462159,0.7120271,0.1293608,35,22
02,2,0.6705882,0.1360121,0.7549407,0.2150027,35,22
02,3,0.2106443,0,0.770751,0,35,22
02,4,0.1226891,0,0.6826652,0,35,22

03,0,0.6422969,0,0.6323529,0,35,17
03,1,0.7061625,0.007531814,0.7009804,0,35,17
03,2,0.5333333,0.2787182,0.5245098,0.4211684,35,17
03,3,0.564986,0.2101513,0.6421569,0,35,17
03,4,0,0,0.6544118,0,35,17

04,0,0.8072829,0,0.7029412,0,35,16
04,1,0.7495798,0.4781471,0.6441176,0.5270887,35,16
04,2,0.787395,0.5128069,0.6558824,0.5617281,35,16
04,3,0.7434174,0.4374641,0.7323529,0.5648841,35,16
04,4,0.7546218,0.4645456,0.6411765,0.5435773,35,16

05,0,0.4773109,0,0.1421569,0,35,17
05,1,0.4722689,0.1519703,0.4460784,0.6459232,35,17
05,2,0.2610644,0,0,0,35,17
05,3,0.3848739,0,0.1127451,0,35,17
05,4,0.377591,0,0.1053922,0,35,17

06,0,0.4133343,0,0.4029412,0,35,16
06,1,0.4571749,0.06505758,0.5352941,0,35,16
06,2,0.2928777,0.04494864,0.2647059,0,35,16
06,3,0.3288746,0.01776213,0.3029412,0.00303947,35,16
06,4,0.3948456,0,0.5882353,0,35,16

07,0,0.5889768,0,0.5178571,0,35,15
07,1,0.572549,0.2666928,0.575,0,35,15
07,2,0.5759104,0.06724829,0.5428571,0,35,15
07,3,0.529972,0.100742,0.475,0,35,15
07,4,0.5467787,0.03986158,0.5107143,0,35,15

08,0,0.7535014,0,0.4593407,0,35,14
08,1,0.5711485,0.1653712,0.367033,0,35,14
08,2,0.5431373,0,0.1604396,0,35,14
08,3,0.5890756,0,0.3274725,0,35,14
08,4,0.722409,0.02676507,0.5824176,0,35,14

09,0,0.6722689,0,0.6676987,0,35,18
09,1,0.5896359,0.2185127,0.6429309,0.3625179,35,18
09,2,0.5593838,0,0.3952528,0.2809427,35,18
09,3,0.4859944,0.09121882,0.4220846,0.2091356,35,18
09,4,0.447619,0,0.2961816,0.1533532,35,18

10,0,0.6459384,0,0.6590909,0.006100989,35,23
10,1,0.5212885,0,0.5563241,0.0169577,35,23
10,2,0.5352941,0,0.5434783,0,35,23
10,3,0.5605042,0,0.5998024,0.00320748,35,23
10,4,0.4851541,0,0.4891304,0,35,23

11,0,0.752381,0.1501776,0.8165217,0.2807922,35,24
11,1,0.7014006,0.03924938,0.7773913,0.04712296,35,24
11,2,0.6708683,0,0.7426087,0,35,24
11,3,0.5955182,0,0.6921739,0,35,24
11,4,0.7182576,0,0.7817391,0,35,24

12,0,0.842577,0,0.7747826,0,35,24
12,1,0.7210084,0,0.6817391,0,35,24
12,2,0.6319328,0,0.5765217,0,35,24
12,3,0.6717087,0,0.6269565,0,35,24
12,4,0.6436975,0,0.593913,0,35,24

