M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.9030812,0,0.9288889,0,35,26
01,1,0.8633053,0.3435088,0.902906,0.3254431,35,26
01,2,0.1254902,0,0.9241026,0.3824095,35,26
01,3,0.1106443,0,0.8926496,0.1961351,35,26
01,4,0.07927171,0,0.9206838,0.2817983,35,26

02,0,0.7736695,0.1162407,0.8012422,0.1895295,35,22
02,1,0.6952381,0,0.7312253,0,35,22
02,2,0.680112,0,0.7459063,0,35,22
02,3,0.08487395,0,0.7131564,0,35,22
02,4,0.09327731,0,0.7696217,0,35,22

03,0,0.6422969,0,0.6323529,0,35,17
03,1,0.6411765,0,0.6960784,0,35,17
03,2,0.6378151,0,0.6960784,0,35,17
03,3,0.5890756,0.1422622,0.620098,0,35,17
03,4,0,0,0.6960784,0,35,17

04,0,0.8072829,0,0.7029412,0,35,16
04,1,0.7495798,0.3152774,0.6441176,0.3637043,35,16
04,2,0.7322129,0.3769242,0.6294118,0.4478141,35,16
04,3,0.7394958,0.3763052,0.6382353,0.4543905,35,16
04,4,0.7285714,0.4149183,0.6764706,0.5067574,35,16

05,0,0.4773109,0,0.1421569,0,35,17
05,1,0.2831933,0,0,0,35,17
05,2,0.32493,0,0,0,35,17
05,3,0.2915966,0,0,0,35,17
05,4,0.3215686,0,0.04411765,0,35,17

06,0,0.4133343,0,0.4029412,0,35,16
06,1,0.4934519,0,0.3764706,0,35,16
06,2,0.4899503,0.01880483,0.3647059,0,35,16
06,3,0.508439,0,0.4382353,0,35,16
06,4,0.636179,0,0.5441176,0,35,16

07,0,0.5889768,0,0.5178571,0,35,15
07,1,0.3893557,0,0.2107143,0,35,15
07,2,0.5254902,0.01102492,0.3035714,0,35,15
07,3,0.3694678,0,0.1535714,0,35,15
07,4,0.2882353,0,0.2392857,0,35,15

08,0,0.7535014,0,0.4593407,0,35,14
08,1,0.6355742,0.1309784,0.243956,0,35,14
08,2,0.6112045,0,0.178022,0,35,14
08,3,0.4717087,0.09193534,0.08571429,0,35,14
08,4,0.5784314,0.05539104,0.2527473,0,35,14

09,0,0.6722689,0,0.6676987,0,35,18
09,1,0.5131653,0.3422229,0.5748194,0.2245582,35,18
09,2,0.5414566,0.2394513,0.5665635,0.263526,35,18
09,3,0.472549,0.03755312,0.3333333,0.1312609,35,18
09,4,0.5022409,0.1215098,0.494324,0.09235213,35,18

10,0,0.6459384,0,0.6590909,0.006100989,35,23
10,1,0.5355742,0,0.5662055,0,35,23
10,2,0.4823529,0,0.486166,0,35,23
10,3,0.5128852,0,0.4960474,0.01386274,35,23
10,4,0.5142857,0,0.5355731,0,35,23

11,0,0.752381,0.1501776,0.8165217,0.2807922,35,24
11,1,0.7030812,0,0.7530435,0,35,24
11,2,0.7095238,0,0.7565217,0,35,24
11,3,0.712605,0,0.7913043,0,35,24
11,4,0.662465,0,0.72,0.002286459,35,24

12,0,0.842577,0,0.7747826,0,35,24
12,1,0.5943978,0,0.5347826,0,35,24
12,2,0.6795518,0,0.6191304,0,35,24
12,3,0.7767507,0,0.6947826,0,35,24
12,4,0.7445378,0,0.6495652,0,35,24

