xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1983	6.3840355411865950
1984	4.5591567635958778
1985	5.6909172603707256
1986	5.8809934513649216
1987	6.2098660722127175
1988	6.2699096836819130
1989	5.7035982217379466
1990	5.6169738831886384
1991	5.2758739090729936
1992	5.6985468678408715
1993	5.8917504071597646
1994	5.6089462068568645
1995	5.7628634004682739
1996	4.4150633599099205
1997	5.8522624929454095
1998	4.6679443257584046
1999	5.6439217317743209
2000	4.7448215688628430
2001	5.8266008119852728
2002	5.4838224885401123
2003	5.5615672518346333
2004	6.1811569657413150
2005	4.9676369019624014
2006	5.2030153179158951
2007	8.4046795489739541
2008	5.0463851779350639
2009	5.1755426962841309
2010	5.6722976908382199
