xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=19, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	9.8547800094324689	51.867263207539288	51.867263207539288
2	7.6786091028030850	40.413732120016221	92.280995327555516
3	0.78776357951529263	4.1461241027120650	96.427119430267581
4	0.36478686190105908	1.9199308521108367	98.347050282378419
5	0.14799262897299026	0.77890857354205378	99.125958855920473
6	6.0353119183122278E-002	0.31764799570064345	99.443606851621112
7	4.0811943844170258E-002	0.21479970444300131	99.658406556064108
8	2.9536673672377282E-002	0.15545617722303826	99.813862733287152
9	1.1623552159123566E-002	6.1176590311176636E-002	99.875039323598330
10	9.4269138475388137E-003	4.9615336039677951E-002	99.924654659637994
11	5.2125392956507647E-003	2.7434417345530329E-002	99.952089076983526
12	3.1388698748834516E-003	1.6520367762544477E-002	99.968609444746079
13	2.3281263198155267E-003	1.2253296420081715E-002	99.980862741166177
14	1.8638488245513835E-003	9.8097306555335936E-003	99.990672471821711
15	8.1777205229229325E-004	4.3040634331173314E-003	99.994976535254835
16	5.3772449499148351E-004	2.8301289210078072E-003	99.997806664175826
17	2.3402625179406184E-004	1.2317171147055881E-003	99.999038381290532
18	1.5501345228150878E-004	8.1586027516583539E-004	99.999854241565700
19	2.7694102515767911E-005	1.4575843429351525E-004	100.00000000000000
