xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=19, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	12.051227786279545	63.427514664629228	63.427514664629228
2	5.5653737869388999	29.291440983888965	92.718955648518190
3	0.87496952774940240	4.6051027776284359	97.324058426146621
4	0.25796985342599332	1.3577360706631234	98.681794496809758
5	0.11443390420733074	0.60228370635437267	99.284078203164128
6	5.6587232188954978E-002	0.29782753783660532	99.581905741000753
7	3.2396899309565672E-002	0.17050999636613520	99.752415737366874
8	1.9603102642583421E-002	0.10317422443464964	99.855589961801527
9	1.4922934086609878E-002	7.8541758350578347E-002	99.934131720152095
10	6.2002836261099278E-003	3.2633071716368062E-002	99.966764791868485
11	4.3348140826274311E-003	2.2814810961197019E-002	99.989579602829679
12	9.5375352366142130E-004	5.0197553876916937E-003	99.994599358217357
13	4.7901609047548954E-004	2.5211373182920517E-003	99.997120495535668
14	2.2094886626082666E-004	1.1628887697938252E-003	99.998283384305466
15	1.6749449276016583E-004	8.8154996189561017E-004	99.999164934267370
16	1.0259419319204055E-004	5.3996943785284530E-004	99.999704903705208
17	2.3811335602816272E-005	1.2532281896219098E-004	99.999830226524168
18	2.1065934814743903E-005	1.1087334113023113E-004	99.999941099865296
19	1.1191025596858749E-005	5.8900134720309244E-005	100.00000000000000
