Y	M	L	ENSO	(m,m0)_(CV)
1990 02 1 0 0.000226209
1991 02 1 0 3.68794
1992 02 1 1 266.397
1993 02 1 1 43.2486
1994 02 1 0 0.000712893
1995 02 1 1 12.5017
1996 02 1 1 0.000465331
1997 02 1 0 31.0043
1998 02 1 1 7.62687
1999 02 1 1 53.3647
2000 02 1 1 0.280406
2001 02 1 1 40.3736
2002 02 1 0 57.6227
2003 02 1 1 40.5734
2004 02 1 0 20.5626
2005 02 1 0 91.4354
2006 02 1 1 0.165756
2007 02 1 0 46.9354
2008 02 1 1 26.4081
2009 02 1 1 0.127129
2010 02 1 1 106.453
2011 02 1 1 0.303334
2012 02 1 1 4.19334e-05
2013 02 1 0 -2.88983e-05
2014 02 1 0 0.0656644
2015 02 1 1 0.0338754
2016 02 1 1 724.292
1983 03 2 1 76.3079
1984 03 2 0 1.94574
1985 03 2 1 2.30401
1986 03 2 0 2.48945
1987 03 2 1 276.397
1988 03 2 0 4.07901
1989 03 2 1 1.35542
1990 03 2 0 1.3781
1991 03 2 0 14.2207
1992 03 2 1 96.2725
1993 03 2 1 8.22782
1994 03 2 0 1.66068
1995 03 2 0 34.0292
1996 03 2 0 1.57425
1997 03 2 0 33.0844
1998 03 2 1 20.4159
1999 03 2 1 2.22709
2000 03 2 1 1.02172
2001 03 2 0 34.3574
2002 03 2 0 16.0002
2003 03 2 1 21.8772
2004 03 2 0 32.8596
2005 03 2 0 18.7521
2006 03 2 1 3.05109
2007 03 2 0 7.10451
2008 03 2 1 3.19779
2009 03 2 1 84.0607
2010 03 2 1 21.3861
2011 03 2 1 0.866298
2012 03 2 0 0.0195463
2013 03 2 0 2.78234
2014 03 2 0 2.94067
2015 03 2 1 0.0698232
2016 03 2 1 0.963642
1983 04 3 1 0.0384534
1984 04 3 0 0.335837
1985 04 3 1 102.409
1986 04 3 0 1.23034
1987 04 3 1 88.0713
1988 04 3 0 13.7976
1989 04 3 1 1.01194
1990 04 3 0 151.788
1991 04 3 0 1.14924
1992 04 3 1 818.214
1993 04 3 1 60.6584
1994 04 3 0 9.22001
1995 04 3 0 9.00622
1996 04 3 0 -9.0985e-05
1997 04 3 1 52.2028
1998 04 3 1 4.8501
1999 04 3 1 97.362
2000 04 3 1 84.737
2001 04 3 0 106.827
2002 04 3 0 3.563
2003 04 3 0 32.832
2004 04 3 0 193.351
2005 04 3 1 439.971
2006 04 3 0 0.055013
2007 04 3 0 2.44249
2008 04 3 1 5.23384
2009 04 3 0 -6.71243e-05
2010 04 3 1 4.10297
2011 04 3 1 0.042522
2012 04 3 0 80.5091
2013 04 3 0 -3.42287e-05
2014 04 3 0 0.0153524
2015 04 3 1 10.0503
2016 04 3 1 4.54443
1983 05 4 1 0.702408
1984 05 4 0 0.219761
1985 05 4 0 259.758
1986 05 4 0 1.64346
1987 05 4 1 86.4315
1988 05 4 1 25.4145
1989 05 4 1 3.0664
1990 05 4 0 175.05
1991 05 4 1 52.4287
1992 05 4 1 320.651
1993 05 4 1 28.024
1994 05 4 1 1.15436
1995 05 4 0 101.002
1996 05 4 0 0.0380941
1997 05 4 1 208.302
1998 05 4 1 11.1971
1999 05 4 1 329.003
2000 05 4 0 68.5437
2001 05 4 0 81.9132
2002 05 4 1 0.649868
2003 05 4 0 47.1546
2004 05 4 0 849.162
2005 05 4 1 233.868
2006 05 4 0 0.696595
2007 05 4 0 8.55039
2008 05 4 0 6.8688
2009 05 4 0 0.000119684
2010 05 4 0 396.256
2011 05 4 0 0.0653677
2012 05 4 0 181.764
2013 05 4 0 0.099492
2014 05 4 1 2.20869
