M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.1625573,0,0.1392643,0,35,26
01,1,0.7823119,0.2107033,0.7133084,0.1842185,35,26
01,2,0.2409274,0,0.6380433,0,35,26
01,3,0.2134089,0,0.6948342,0,35,26
01,4,0.1877156,0,0.7194665,0.01875723,35,26

02,0,0.8903969,0.6030764,0.9569892,0.6021447,35,22
02,1,0.8080519,0,0.895987,0,35,22
02,2,0.8045454,0,0.8982482,0,35,22
02,3,0,0,0.8971176,0,35,22
02,4,0,0,0.8971176,0,35,22

03,0,0.5614876,0.7137064,0.6862745,0.8164954,35,17
03,1,0.3258616,0,0.2622549,0,35,17
03,2,0.2042589,0,0.1323529,0,35,17
03,3,0.1555058,0,0.1617647,0,35,17
03,4,0,0,0.2696078,0,35,17

04,0,0.859386,0.2736641,0.7852941,0.4646076,35,16
04,1,0.8881572,0,0.8676471,0,35,16
04,2,0.8545202,0.05738399,0.7411765,0,35,16
04,3,0.8386828,0.1459486,0.7411765,0.267696,35,16
04,4,0.8179399,0.1003065,0.7676471,0.3914169,35,16

05,0,0.7186318,0.07748031,0.6960784,0,35,17
05,1,0.7377417,0,0.7990196,0,35,17
05,2,0.7063604,0.5507714,0.6519608,0.6722488,35,17
05,3,0.6901093,0,0.6715686,0,35,17
05,4,0.645559,0,0.6102941,0,35,17

06,0,0.5589183,0.119543,0.7470588,0.1324228,35,16
06,1,0.5696876,0.18332,0.7735294,0.1612878,35,16
06,2,0.5752907,0,0.7411765,0,35,16
06,3,0.6502311,0,0.7029412,0,35,16
06,4,0.4904048,0,0.5823529,0,35,16

07,0,0.5318416,0,0.5470872,0,35,15
07,1,0.4630411,0,0.4301103,0,35,15
07,2,0.4811527,0,0.5519749,0,35,15
07,3,0.5273445,0,0.695345,0,35,15
07,4,0.4833991,0,0.5161323,0,35,15

08,0,0.4844603,0,0.4972403,0,35,14
08,1,0.3664258,0.03062152,0.5038507,0,35,14
08,2,0.2291919,0,0.4092412,0,35,14
08,3,0.3515213,0,0.5852589,0,35,14
08,4,0.5337499,0,0.5918595,0,35,14

09,0,0.7082535,0,0.7612953,0,35,18
09,1,0.4757368,0,0.649458,0,35,18
09,2,0.542497,0,0.6969541,0,35,18
09,3,0.543619,0,0.7382551,0,35,18
09,4,0.6232825,0,0.7279299,0,35,18

10,0,0.1880919,0,0.3665192,0,35,23
10,1,0.2093984,0,0.04051383,0,35,23
10,2,0.0668114,0,0.1709486,0,35,23
10,3,0.04286014,0,0,0.01061681,35,23
10,4,0.1535122,0,0,0,35,23

11,0,0.4598249,0,0.5483031,0,35,24
11,1,0.2796302,0,0.4099218,0,35,24
11,2,0.4115999,0,0.4534379,0,35,24
11,3,0.3807789,0.02265348,0.4656225,0.1975484,35,24
11,4,0.3622864,0,0.4290689,0.08479217,35,24

12,0,0.7797561,0,0.7477695,0,35,24
12,1,0.7034339,0,0.6919063,0,35,24
12,2,0.7365103,0.1727015,0.7093127,0.1669025,35,24
12,3,0.79075,0,0.8302875,0,35,24
12,4,0.7192714,0,0.6710185,0,35,24

