Y	M	Lead	P-Y	P-M	Streamflow_CV
1993 02 0 1993 02 87.2999
1994 02 0 1994 02 3.71976e-11
1995 02 0 1995 02 2.73
1996 02 0 1996 02 3.71976e-11
1997 02 0 1997 02 10.4
1998 02 0 1998 02 3.04
1999 02 0 1999 02 106.4
2000 02 0 2000 02 2.76999
2001 02 0 2001 02 89.9001
2002 02 0 2002 02 56.4999
2003 02 0 2003 02 80.9004
2004 02 0 2004 02 88.5997
2005 02 0 2005 02 232.2
2006 02 0 2006 02 0.171
2007 02 0 2007 02 13
2008 02 0 2008 02 55.9998
2009 02 0 2009 02 0.0590003
2010 02 0 2010 02 257.299
2011 02 0 2011 02 0.838
2012 02 0 2012 02 3.71976e-11
2013 02 0 2013 02 13
2014 02 0 2014 02 0.195001
2015 02 0 2015 02 3.71976e-11
2016 02 0 2016 02 6.30003
1982 02 1 1982 02 40.5769
1983 02 1 1983 02 0.542915
1984 02 1 1984 02 22.8947
1985 02 1 1985 02 518.984
1986 02 1 1986 02 4.00925
1987 02 1 1987 02 64.572
1988 02 1 1988 02 64.4704
1989 02 1 1989 02 0.0770305
1990 02 1 1990 02 0.000326209
1991 02 1 1991 02 3.68804
1992 02 1 1992 02 266.397
1993 02 1 1993 02 43.2487
1994 02 1 1994 02 0.000812893
1995 02 1 1995 02 12.5018
1996 02 1 1996 02 0.000565331
1997 02 1 1997 02 31.0044
1998 02 1 1998 02 7.62697
1999 02 1 1999 02 53.3648
2000 02 1 2000 02 0.280506
2001 02 1 2001 02 40.3737
2002 02 1 2002 02 57.6228
2003 02 1 2003 02 40.5735
2004 02 1 2004 02 20.5627
2005 02 1 2005 02 91.4355
2006 02 1 2006 02 0.165856
2007 02 1 2007 02 46.9355
2008 02 1 2008 02 26.4082
2009 02 1 2009 02 0.127229
2010 02 1 2010 02 106.454
2011 02 1 2011 02 0.303434
2012 02 1 2012 02 0.000141933
2013 02 1 2013 02 7.11017e-05
2014 02 1 2014 02 0.0657644
2015 02 1 2015 02 0.0339754
2016 02 1 2016 02 724.292
1982 02 2 1982 03 27.0637
1983 02 2 1983 03 76.308
1984 02 2 1984 03 1.94584
1985 02 2 1985 03 2.30411
1986 02 2 1986 03 2.48955
1987 02 2 1987 03 276.397
1988 02 2 1988 03 4.07911
1989 02 2 1989 03 1.35552
1990 02 2 1990 03 1.3782
1991 02 2 1991 03 14.2208
1992 02 2 1992 03 96.2726
1993 02 2 1993 03 8.22792
1994 02 2 1994 03 1.66078
1995 02 2 1995 03 34.0293
1996 02 2 1996 03 1.57435
1997 02 2 1997 03 33.0845
1998 02 2 1998 03 20.416
1999 02 2 1999 03 2.22719
2000 02 2 2000 03 1.02182
2001 02 2 2001 03 34.3575
2002 02 2 2002 03 16.0003
2003 02 2 2003 03 21.8773
2004 02 2 2004 03 32.8597
2005 02 2 2005 03 18.7522
2006 02 2 2006 03 3.05119
2007 02 2 2007 03 7.10461
2008 02 2 2008 03 3.19789
2009 02 2 2009 03 84.0608
2010 02 2 2010 03 21.3862
2011 02 2 2011 03 0.866398
2012 02 2 2012 03 0.0196463
2013 02 2 2013 03 2.78244
2014 02 2 2014 03 2.94077
2015 02 2 2015 03 0.0699232
2016 02 2 2016 03 0.963742
1982 02 3 1982 04 47.3665
1983 02 3 1983 04 0.0385534
1984 02 3 1984 04 0.335937
1985 02 3 1985 04 102.409
1986 02 3 1986 04 1.23044
1987 02 3 1987 04 88.0714
1988 02 3 1988 04 13.7977
1989 02 3 1989 04 1.01204
1990 02 3 1990 04 151.788
1991 02 3 1991 04 1.14934
1992 02 3 1992 04 818.214
1993 02 3 1993 04 60.6585
1994 02 3 1994 04 9.22011
1995 02 3 1995 04 9.00632
1996 02 3 1996 04 9.01504e-06
1997 02 3 1997 04 52.2029
1998 02 3 1998 04 4.8502
1999 02 3 1999 04 97.3621
2000 02 3 2000 04 84.7371
2001 02 3 2001 04 106.827
2002 02 3 2002 04 3.5631
2003 02 3 2003 04 32.8321
2004 02 3 2004 04 193.351
2005 02 3 2005 04 439.971
