xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1982	4.5451055255101522
1983	3.8883328995157687
1984	4.4090860899741582
1985	4.7253330933534023
1986	3.8594124838438382
1987	5.3865871422515852
1988	6.2639971095838822
1989	4.3019690367788526
1990	5.3277690493067258
1991	4.4596815086997958
1992	4.3374131031226657
1993	3.6770014097417332
1994	4.3176529053380479
1995	4.8836290531133661
1996	4.2866385632947752
1997	5.1104304873779496
1998	4.0250131493211221
1999	4.7287138843763037
2000	3.7813326176773785
2001	4.4326122368627248
2002	6.0781934879984787
2003	4.2793804324646905
2004	4.6780586096359462
2005	4.3848168791081479
2006	3.6270907668748875
2007	6.1412941771354790
2008	3.9437513898824341
2009	4.0919020456539617
2010	5.9352360283678127
2011	3.3302210396358367
2012	4.6991122551911939
2013	3.9270625635673926
2014	3.7037818480592506
2015	4.3396514091759562
2016	4.3451250536437520
