xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1982	5.3287646468812699
1983	5.1151015050284165
1984	4.8840135951094537
1985	5.3734962654721992
1986	4.7405339969841522
1987	5.6764259175734537
1988	5.5658865746917945
1989	5.3413321871439638
1990	5.7568762617958855
1991	5.1252794184955830
1992	5.9883663602739183
1993	4.9856904528059687
1994	5.5987513323883666
1995	4.9636613470864717
1996	5.7417456847664461
1997	5.6269729447568588
1998	6.2891404195222602
1999	5.2652570239281289
2000	4.4852302351577302
2001	5.1746727073069279
2002	5.0866596341174430
2003	4.7036298877000542
2004	5.4060732692684583
2005	5.3091926305589645
2006	4.3160594119647699
2007	6.2387860933724300
2008	5.2073690755214672
2009	4.4830460084962453
2010	4.7399594224485169
2011	3.2616198384890582
2012	2.8106210593495327
2013	3.3782994418354830
2014	4.7009289868080399
2015	5.0031781541384941
2016	5.4532331402358514
