xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	02.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1982	5.7100125320067106
1983	5.6109456390350250
1984	4.7332969927332984
1985	8.0782929547076296
1986	5.2529506760374032
1987	6.5933099527730743
1988	5.8149376301352840
1989	5.1141705392266461
1990	5.2683746826495490
1991	5.6362331636957954
1992	6.7235309302298205
1993	5.8942114519498787
1994	5.5278604557197841
1995	5.9702016804733367
1996	5.0426227580371155
1997	5.1157963743691752
1998	5.8350872096714959
1999	5.0983700280919422
2000	4.5934604493283304
2001	6.2181970438302887
2002	5.7789393292663664
2003	5.4389742299672221
2004	5.3899655547733669
2005	5.8355777191629645
2006	5.0649817933882524
2007	5.1230102688101296
2008	5.3215612864288575
2009	4.7442994507775405
2010	5.5601794076776994
2011	4.9493850414035592
2012	4.8173309116271064
2013	4.6823180954692258
2014	4.7761601946027357
2015	4.6919910710786032
2016	5.2839647760675952
