xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	0.89039556867032810
1983	2.4018935342896119
1984	3.5315565059977456
1985	4.2856731833957777
1986	4.5217115860944936
1987	2.5866619981100487
1988	2.2435069092805620
1989	1.4618456286777759
1990	2.0505504961934671
1991	3.8475614519549204
1992	2.4943424981829212
1993	-8.4431470137974500
1994	2.7148538856872184
1995	3.1019263214328512
1996	4.3832274764817338
1997	2.1950594951728033
1998	2.5578279259754368
1999	-2.8406739687260552
2000	2.9292508052604291
2001	5.3281557099929451
2002	6.1952829675550589
2003	2.7258902126022146
2004	3.3983097516947374
2005	0.33353264704896701
2006	-2.3364981230459003
2007	2.8569640698332983
2008	-3.8732766712148363
2009	3.6357799564117013
2010	-10.184554119165341
2011	-2.8189500299092805
2012	0.47966613866568408
2013	0.86918430297902005
2014	-12.200184365966162
2015	-2.2185869519387378
2016	-1.6558045683687259
