xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	6.2506609594619338
1983	6.2190636360882570
1984	-1.7048371313829156
1985	1.2173940991911467
1986	2.1777759541734767
1987	6.2618523252357221
1988	1.3559638896786874
1989	-1.7302418024345614
1990	1.8833588040398099
1991	-1.4261929541122003
1992	6.7668635328498388
1993	5.3273350666737089
1994	-0.79111255670231584
1995	2.3132238141544157
1996	4.1590739538418529
1997	3.8842599230434471
1998	-1.3127303139120885
1999	3.1109791254949237
2000	0.61639579612185846
2001	2.4467453642933283
2002	0.90145475711359135
2003	5.6293837457654554
2004	4.4110415223195876
2005	5.7707582180313182
2006	0.78203096230441227
2007	1.7327760925728846
2008	1.8765181000876121
2009	0.60919623582395621
2010	4.2583247559020121
2011	-14.306005157743646
2012	-0.19786319748776249
2013	2.9068193591434230
2014	-3.5691666538895368
2015	-0.21970022610701290
2016	3.3452583373244638
