xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1982	5.1078186299732531
1983	4.6615297558569422
1984	4.4346879450708778
1985	5.1051012131381892
1986	5.8838607037945074
1987	5.8750432940532322
1988	5.4652167123936559
1989	5.1948657636478721
1990	6.0335769650812301
1991	5.6233920760355023
1992	5.6145909650065029
1993	5.1169741008036516
1994	5.4661011253125542
1995	5.6036289888088078
1996	5.8008782649958714
1997	5.2421502438261633
1998	5.8237879347402792
1999	5.1552624587643132
2000	5.2258863083231857
2001	5.4739288314724428
2002	5.2536162023044328
2003	5.4875140581589426
2004	5.2582196165627160
2005	5.1105272299322593
2006	5.1269160588962093
2007	6.0021436339439287
2008	5.2182639355998228
2009	5.3489325547436373
2010	5.2579215149620495
2011	4.2812818471801011
2012	4.8664269221576797
2013	5.6813947397300151
2014	4.8132842481169655
2015	4.6346055075668300
2016	5.7445096490454510
