xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1982	5.7482307970199660
1983	5.8714612717438248
1984	4.8240945552676564
1985	5.9323660786159937
1986	6.2292059758534410
1987	6.1479905711499079
1988	5.6059757466675677
1989	5.6696376739442442
1990	5.6326671884964528
1991	5.4548315703591514
1992	7.6014278326685538
1993	6.1455162503835163
1994	5.5045868451816613
1995	5.6300077870510208
1996	5.0692159335298799
1997	7.2063516580574927
1998	6.0626596368874441
1999	5.1347803295019041
2000	4.9629957416382204
2001	6.2598219170544702
2002	5.6841476669766831
2003	5.5435555045211737
2004	5.3697434916009241
2005	5.9627655630622538
2006	5.0971516776716506
2007	5.1560242392075759
2008	5.2823690440105073
2009	4.7342919224358750
2010	6.2130906688805565
2011	4.9017866151680813
2012	5.6185964310828291
2013	4.6076553994521223
2014	4.9151450226503215
2015	4.6830836769566941
2016	5.2539477152505238
