xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1982	-2.5204779929768328E-002
1983	4.8903936512915891
1984	4.4930681825058132
1985	4.8926330349019969
1986	4.6854973657081240
1987	1.4419379081279229
1988	-3.4728126643078685
1989	-4.8310027445233166
1990	5.0567349820968497
1991	3.3022397870532378
1992	5.3016823561619359
1993	1.6210089082892805
1994	0.79960580443532603
1995	1.1928543825759037
1996	2.6764831796555697
1997	0.81332936265841083
1998	-0.87427792485875377
1999	-0.72280763790686375
2000	3.7689881259621689
2001	2.3605651517834172
2002	3.7487465107933686
2003	1.6584149233799972
2004	7.6654556197235397
2005	2.7952388442603784
2006	2.8956576175884989
2007	1.5684300787654584
2008	3.4312153661691740
2009	0.31452773811164825
2010	0.46140728710142875
2011	-0.87684262709996141
2012	-9.6539112678320791
2013	1.6018909723772623E-002
2014	3.2517787921340533
2015	5.4061758302204739
2016	3.4065372432071692
