Y	M	L	ENSO	(m,m0)_(CV)
1983 01 0 1 64.4 30.7
1984 01 0 1 33.2 66.1
1985 01 0 1 249.9 29.2
1986 01 0 1 26.9 410.8
1987 01 0 1 294.5 193.4
1988 01 0 1 71.2 38.2
1989 01 0 1 29.4 14.5
1990 01 0 0 30.2 51.7
1991 01 0 1 128.7 1593
1992 01 0 1 689.4 86.3
1993 01 0 0 78.3 37.5
1994 01 0 0 61.6 37.8
1995 01 0 1 42.3 35.5
1996 01 0 1 38.5 69.1
1997 01 0 0 39.8 44.7
1998 01 0 1 35.2 14.9
1999 01 0 1 14.9 7.60
2000 01 0 1 12.2 22.6
2001 01 0 1 20.2 30.5
2002 01 0 0 20.9 30.6
2003 01 0 1 15.5 2.30
2004 01 0 0 6.14 100.3
2005 01 0 1 58.4 17.9
2006 01 0 1 16.6 5.98
2007 01 0 1 13.5 58.2
2008 01 0 1 48.8 12.3
2009 01 0 1 12.4 13.8
2010 01 0 1 110.1 37.4
2011 01 0 1 34.0 8.84
2012 01 0 1 11.1 4.33
2013 01 0 0 8.60 14.2
2014 01 0 0 11.6 13.1
2015 01 0 1 9.35 464.3
2016 01 0 1 204.2 63.4
1983 01 1 1 63.6074
1984 01 1 1 32.5444
1985 01 1 1 51.6498
1986 01 1 1 31.8969
1987 01 1 1 210.509
1988 01 1 1 105.798
1989 01 1 1 41.3793
1990 01 1 0 19.1904
1991 01 1 1 45.834
1992 01 1 1 599.854
1993 01 1 0 72.898
1994 01 1 0 35.3131
1995 01 1 1 39.1907
1996 01 1 1 35.5982
1997 01 1 0 65.5425
1998 01 1 1 68.8729
1999 01 1 1 16.6963
2000 01 1 1 12.4459
2001 01 1 1 24.5589
2002 01 1 0 30.1695
2003 01 1 1 37.6116
2004 01 1 0 5.4969
2005 01 1 1 72.5541
2006 01 1 1 21.7705
2007 01 1 1 14.4562
2008 01 1 1 52.3477
2009 01 1 1 15.1131
2010 01 1 1 14.4348
2011 01 1 1 31.5554
2012 01 1 1 14.943
2013 01 1 0 8.26003
2014 01 1 0 25.9945
2015 01 1 1 21.3118
2016 01 1 1 294.074
1983 02 2 1 103.163
1984 02 2 0 43.3693
1985 02 2 1 329.899
1986 02 2 1 32.5257
1987 02 2 1 426.822
1988 02 2 0 108.367
1989 02 2 1 37.6541
1990 02 2 0 42.0468
1991 02 2 0 166.722
1992 02 2 1 658.23
1993 02 2 1 81.6805
1994 02 2 0 81.8692
1995 02 2 1 54.0937
1996 02 2 1 49.7073
1997 02 2 0 47.7804
1998 02 2 1 55.9266
1999 02 2 1 19.705
2000 02 2 1 13.506
2001 02 2 1 26.3452
2002 02 2 0 21.844
2003 02 2 1 18.7181
2004 02 2 0 5.88103
2005 02 2 0 77.8515
2006 02 2 1 19.8997
2007 02 2 0 19.2115
2008 02 2 1 66.7865
2009 02 2 1 15.3451
2010 02 2 1 161.294
2011 02 2 1 44.4125
2012 02 2 1 13.8202
2013 02 2 0 10.2696
2014 02 2 0 15.26
2015 02 2 1 12.2389
2016 02 2 1 470.109
1983 03 3 1 101.874
1984 03 3 0 39.1548
1985 03 3 1 233.645
1986 03 3 0 37.7193
1987 03 3 1 282.477
1988 03 3 0 42.7192
1989 03 3 1 84.3248
1990 03 3 0 36.0485
1991 03 3 0 82.2294
1992 03 3 1 1013.11
1993 03 3 1 77.5065
1994 03 3 0 127.883
1995 03 3 0 46.4151
1996 03 3 0 36.8575
1997 03 3 0 191.374
1998 03 3 1 47.9224
1999 03 3 1 20.3672
2000 03 3 1 15.7815
2001 03 3 0 85.3102
2002 03 3 0 30.8268
2003 03 3 1 24.199
2004 03 3 0 24.1313
2005 03 3 0 70.95
2006 03 3 1 22.8334
2007 03 3 0 22.9427
2008 03 3 1 46.9038
2009 03 3 1 14.8924
2010 03 3 1 86.3837
2011 03 3 1 53.775
2012 03 3 0 23.7822
2013 03 3 0 19.7207
2014 03 3 0 24.5294
2015 03 3 1 19.3046
2016 03 3 1 43.6863
1983 04 4 1 56.3963
1984 04 4 0 26.2586
1985 04 4 1 141.226
1986 04 4 0 26.8387
1987 04 4 1 588.345
1988 04 4 0 59.6207
1989 04 4 1 67.4055
1990 04 4 0 159.205
1991 04 4 0 69.9575
1992 04 4 1 672.133
1993 04 4 1 117.029
1994 04 4 0 36.6702
1995 04 4 0 41.7643
1996 04 4 0 28.1438
1997 04 4 1 127.266
1998 04 4 1 147.334
1999 04 4 1 38.32
2000 04 4 1 121.577
2001 04 4 0 156.375
2002 04 4 0 84.4667
2003 04 4 0 30.7848
2004 04 4 0 39.9139
2005 04 4 1 96.0484
2006 04 4 0 32.4294
2007 04 4 0 20.4707
2008 04 4 1 130.173
2009 04 4 0 20.354
2010 04 4 1 121.176
2011 04 4 1 35.8152
2012 04 4 0 23.3296
2013 04 4 0 17.5201
2014 04 4 0 7.48783
2015 04 4 1 20.4916
2016 04 4 1 47.5412
1983 02 0 1 114.1 64.4
1984 02 0 0 28.4 33.2
1985 02 0 1 438.4 249.9
1986 02 0 1 29.2 26.9
1987 02 0 1 784.5 294.5
1988 02 0 0 52.9 71.2
1989 02 0 1 98.9 29.4
1990 02 0 0 24.6 30.2
1991 02 0 0 100.9 128.7
1992 02 0 1 4268 689.4
1993 02 0 1 87.3 78.3
1994 02 0 0 178.9 61.6
1995 02 0 1 34.6 42.3
1996 02 0 1 28.2 38.5
1997 02 0 0 291.0 39.8
1998 02 0 1 43.2 35.2
1999 02 0 1 25.4 14.9
2000 02 0 1 8.18 12.2
2001 02 0 1 227.5 20.2
2002 02 0 0 23.9 20.9
2003 02 0 1 17.8 15.5
2004 02 0 0 14.8 6.14
2005 02 0 0 84.1 58.4
2006 02 0 1 14.2 16.6
2007 02 0 0 13.2 13.5
2008 02 0 1 42.9 48.8
2009 02 0 1 10.2 12.4
2010 02 0 1 180.4 110.1
2011 02 0 1 38.1 34.0
2012 02 0 1 11.2 11.1
2013 02 0 0 8.32 8.60
2014 02 0 0 10.9 11.6
2015 02 0 1 8.62 9.35
2016 02 0 1 40.2 204.2
1983 02 1 1 119.141
1984 02 1 0 45.3229
1985 02 1 1 350.965
1986 02 1 1 34.9716
1987 02 1 1 388.862
1988 02 1 0 94.4909
1989 02 1 1 27.7784
1990 02 1 0 36.1531
1991 02 1 0 157.744
1992 02 1 1 779.1
1993 02 1 1 90.5984
1994 02 1 0 83.1567
1995 02 1 1 58.9212
1996 02 1 1 63.2826
1997 02 1 0 71.2293
1998 02 1 1 86.0545
1999 02 1 1 18.7041
2000 02 1 1 11.1338
2001 02 1 1 23.2444
2002 02 1 0 27.3307
2003 02 1 1 17.9679
2004 02 1 0 7.2968
2005 02 1 0 55.5312
2006 02 1 1 19.0287
2007 02 1 0 18.2328
2008 02 1 1 58.3352
2009 02 1 1 16.3076
2010 02 1 1 85.7369
2011 02 1 1 52.8776
2012 02 1 1 13.1013
2013 02 1 0 11.171
2014 02 1 0 12.5847
2015 02 1 1 10.6606
2016 02 1 1 418.718
1983 03 2 1 135.571
1984 03 2 0 34.447
1985 03 2 1 234.162
1986 03 2 0 38.2188
1987 03 2 1 258.597
1988 03 2 0 60.0332
1989 03 2 1 84.1129
1990 03 2 0 28.1545
1991 03 2 0 80.0376
1992 03 2 1 1157.24
1993 03 2 1 76.332
1994 03 2 0 117.185
1995 03 2 0 45.3544
1996 03 2 0 38.1101
1997 03 2 0 170.515
1998 03 2 1 66
1999 03 2 1 32.1663
2000 03 2 1 16.3535
2001 03 2 0 118.437
2002 03 2 0 28.2979
2003 03 2 1 21.1304
2004 03 2 0 21.5597
2005 03 2 0 70.0361
2006 03 2 1 22.4802
2007 03 2 0 17.1435
2008 03 2 1 50.1968
2009 03 2 1 20.4537
2010 03 2 1 132.239
2011 03 2 1 61.2015
2012 03 2 0 25.6975
2013 03 2 0 19.8669
2014 03 2 0 20.678
2015 03 2 1 13.5611
2016 03 2 1 65.6122
1983 04 3 1 286.841
1984 04 3 0 60.0291
1985 04 3 1 94.2731
1986 04 3 0 32.1216
1987 04 3 1 381.945
1988 04 3 0 63.8479
1989 04 3 1 44.1527
1990 04 3 0 207.166
1991 04 3 0 107.256
1992 04 3 1 789.478
1993 04 3 1 106.743
1994 04 3 0 37.0697
1995 04 3 0 26.9574
1996 04 3 0 16.6311
1997 04 3 1 134.237
1998 04 3 1 137.857
1999 04 3 1 44.9791
2000 04 3 1 156.172
2001 04 3 0 187.121
2002 04 3 0 46.3433
2003 04 3 0 18.6237
2004 04 3 0 37.8886
2005 04 3 1 53.4755
2006 04 3 0 34.3568
2007 04 3 0 22.6741
2008 04 3 1 148.075
2009 04 3 0 21.339
2010 04 3 1 135.805
2011 04 3 1 28.7164
2012 04 3 0 19.5727
2013 04 3 0 15.1588
2014 04 3 0 5.10392
2015 04 3 1 20.5279
2016 04 3 1 59.4294
1983 05 4 1 109.714
1984 05 4 0 23.9682
1985 05 4 0 249.981
1986 05 4 0 55.362
1987 05 4 1 605.215
1988 05 4 1 89.901
1989 05 4 1 36.7004
1990 05 4 0 1040.43
1991 05 4 1 110.938
1992 05 4 1 2386.18
1993 05 4 1 327.749
1994 05 4 1 60.5674
1995 05 4 0 80.7004
1996 05 4 0 89.1622
1997 05 4 1 270.981
1998 05 4 1 165.331
1999 05 4 1 55.1077
2000 05 4 0 10.2346
2001 05 4 0 41.6939
2002 05 4 1 167.779
2003 05 4 0 45.6043
2004 05 4 0 174.193
2005 05 4 1 55.835
2006 05 4 0 67.3611
2007 05 4 0 271.978
2008 05 4 0 149.623
2009 05 4 0 7.30027
2010 05 4 0 825.469
2011 05 4 0 6.59924
2012 05 4 0 9.17766
2013 05 4 0 18.0863
2014 05 4 1 5.48146
2015 05 4 1 487.028
2016 05 4 1 1610.95
1983 03 0 1 60.6 114.1
1984 03 0 0 21.7 28.4
1985 03 0 1 210.9 438.4
1986 03 0 0 28.8 29.2
1987 03 0 1 815.5 784.5
1988 03 0 0 43.4 52.9
1989 03 0 1 52.6 98.9
1990 03 0 0 266.2 24.6
1991 03 0 0 71.0 100.9
1992 03 0 1 1066 4268
1993 03 0 1 137.5 87.3
1994 03 0 0 40.5 178.9
