M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.8682681,0,0.8700855,0,35,26
01,1,0.8022409,0.84585,0.7798291,0.8437189,35,26
01,2,0.2686275,0,0.7928205,0.836495,35,26
01,3,0.277591,0,0.8044444,0.853641,35,26
01,4,0.3434174,0,0.7989744,0.5752431,35,26

02,0,0.8495798,0.2523182,0.8430265,0.2416275,35,22
02,1,0.8336134,0.28838,0.8147939,0.2776151,35,22
02,2,0.842577,0.2390069,0.8418972,0.2279843,35,22
02,3,0.2260504,0,0.822699,0.192951,35,22
02,4,0.2137255,0,0.8181818,0.3441675,35,22

03,0,0.7270817,0,0.7720588,0,35,17
03,1,0.6864626,0.7789829,0.7181373,0.8091068,35,17
03,2,0.7122348,0.7310335,0.752451,0.7570887,35,17
03,3,0.693606,0.7495811,0.7205882,0.7786363,35,17
03,4,0.2253659,0,0.75,0.8072269,35,17

04,0,0.606485,0,0.3558824,0,35,16
04,1,0.5120448,0,0.2117647,0,35,16
04,2,0.6,0,0.4235294,0,35,16
04,3,0.5210084,0,0.1823529,0,35,16
04,4,0.5596639,0,0.2647059,0,35,16

05,0,0.6848739,0.07239277,0.3529412,0,35,17
05,1,0.6635854,0,0.4240196,0,35,17
05,2,0.6352941,0.1620257,0.4044118,0,35,17
05,3,0.6666667,0,0.4191176,0,35,17
05,4,0.6879552,0,0.4656863,0,35,17

06,0,0.6529412,0.1475029,0.6058824,0.186846,35,16
06,1,0.6123249,0,0.5294118,0,35,16
06,2,0.6207283,0.2033698,0.4617647,0.1742233,35,16
06,3,0.5854342,0,0.3676471,0,35,16
06,4,0.5098039,0,0.3029412,0,35,16

07,0,0.6576533,0,0.5607143,0,35,15
07,1,0.5678459,0.04623589,0.5428571,0,35,15
07,2,0.6663398,0,0.7464286,0.01849053,35,15
07,3,0.5974081,0,0.5714286,0,35,15
07,4,0.5993696,0,0.5392857,0,35,15

08,0,0.5265461,0,0.695371,0,35,14
08,1,0.237979,0,0.452543,0.4793656,35,14
08,2,0.1641283,0,0.1479043,0.264339,35,14
08,3,0.2528614,0,0.3245065,0.4510786,35,14
08,4,0.3738867,0,0.4657882,0.4255458,35,14

09,0,0.72364,0,0.5615317,0,35,18
09,1,0.5300632,0,0.5892673,0,35,18
09,2,0.5345481,0,0.4117647,0,35,18
09,3,0.5883673,0,0.5830753,0,35,18
09,4,0.5353891,0.1250697,0.250774,0,35,18

10,0,0.4473722,0.01546489,0.538387,0.1218657,35,23
10,1,0.3761905,0.1277578,0.3083004,0.1182215,35,23
10,2,0.3364146,0,0.2509881,0,35,23
10,3,0.4134454,0,0.3705534,0,35,23
10,4,0.4022409,0.003118366,0.4782609,0,35,23

11,0,0.7436975,0,0.7556522,0,35,24
11,1,0.6389356,0.08476761,0.6834783,0.06503892,35,24
11,2,0.7336134,0.1499225,0.706087,0.111146,35,24
11,3,0.6719888,0.09511426,0.6217391,0.06119002,35,24
11,4,0.7098039,0,0.7069565,0,35,24

12,0,0.8212885,0,0.7869565,0,35,24
12,1,0.7212885,0.04825937,0.66,0.02708497,35,24
12,2,0.7156863,0,0.713913,0,35,24
12,3,0.7697479,0.008188681,0.7852174,0,35,24
12,4,0.8277311,0.05116172,0.8652174,0.03242813,35,24

