"","Year","Month","Lead","Obs","Clim","CFSv2","ECHAM4p5","Date","D_F"
"102",2013,3,1,0.303,54.4409,0.585358,4.78901,Mar 2013,-1
"137",2013,4,1,0.96,60.8048,0.779614,0.390147,Apr 2013,0
"172",2013,5,1,45.7,175.237,1.8381,31.4505,May 2013,0
"207",2013,6,1,20.9,257.06,37.6401,82.5036,Jun 2013,0
"242",2013,7,1,66.8,117.05,52.9747,2.89502,Jul 2013,0
"277",2013,8,1,125.4,90.9749,468.346,6.0667,Aug 2013,0
"312",2013,9,1,27.2,102.048,7.63956,1745.8,Sep 2013,0
"347",2013,10,1,4.16,119.596,22.8994,29.592,Oct 2013,0
"382",2013,11,1,1.7,69.0037,1.84603,4.27495,Nov 2013,0
"417",2013,12,1,4.04,39.503,4.69502,0.287383,Dec 2013,0
"33",2014,1,1,8.35,27.3461,9.91776,11.9892,Jan 2014,0
"68",2014,2,1,10.7,40.1112,1.07298,5.27922,Feb 2014,0
"103",2014,3,1,4.31,54.4409,2.3827,9.22363,Mar 2014,0
"138",2014,4,1,1.4,60.8048,4.47716,5.7432,Apr 2014,0
"173",2014,5,1,33.2,175.237,15.8857,31.6518,May 2014,0
"208",2014,6,1,52.7,257.06,61.8293,121.312,Jun 2014,0
"243",2014,7,1,17.2,117.05,0.858749,8.34036,Jul 2014,0
"278",2014,8,1,2.32,90.9749,0.32373,18.3131,Aug 2014,0
"313",2014,9,1,155,102.048,7.55343,0.586069,Sep 2014,0
"348",2014,10,1,88.9,119.596,11.3924,30.1987,Oct 2014,0
"383",2014,11,1,73.3,69.0037,3.56565,68.258,Nov 2014,0
"418",2014,12,1,32.5,39.503,18.7996,15.1934,Dec 2014,0
"34",2015,1,1,32.7,27.3461,18.6983,23.0132,Jan 2015,0
"69",2015,2,1,29.5,40.1112,13.808,31.043,Feb 2015,0
"104",2015,3,1,23.9,54.4409,3.17738,21.2956,Mar 2015,0
"139",2015,4,1,37.5,60.8048,13.087,51.8091,Apr 2015,0
"174",2015,5,1,589.3,175.237,1726.48,90.7662,May 2015,1
"209",2015,6,1,274.2,257.06,307.279,273.678,Jun 2015,1
"244",2015,7,1,631.5,117.05,0.657456,54.7286,Jul 2015,1
"279",2015,8,1,71.9,90.9749,6.94057,175.437,Aug 2015,0
"314",2015,9,1,17.2,102.048,0.159232,3.26536,Sep 2015,0
"349",2015,10,1,30.7,119.596,187.802,13.1736,Oct 2015,0
"384",2015,11,1,33.4,69.0037,10.0225,12.1441,Nov 2015,0
"419",2015,12,1,44,39.503,5.99839,26.1665,Dec 2015,0
"35",2016,1,1,39.7,27.3461,9.28865,32.3288,Jan 2016,0
"70",2016,2,1,25.6,40.1112,29.0071,25.8734,Feb 2016,0
"105",2016,3,1,20.4,54.4409,2.69143,25.8543,Mar 2016,0
"140",2016,4,1,22.2,60.8048,6.40209,6.78772,Apr 2016,0
"175",2016,5,1,122.8,175.237,52.2356,75.1763,May 2016,0
"210",2016,6,1,113.8,257.06,61.3517,141.921,Jun 2016,0
"245",2016,7,1,15.4,117.05,0.522796,11.0722,Jul 2016,0
"280",2016,8,1,10.7,90.9749,0.269362,25.3949,Aug 2016,0
"315",2016,9,1,65,102.048,10.2301,6.15894,Sep 2016,0
"350",2016,10,1,16.5,119.596,18.4433,12.9719,Oct 2016,0
"385",2016,11,1,97.9,69.0037,2.40269,6.28482,Nov 2016,0
"420",2016,12,1,26.6,39.503,93.3655,70.0369,Dec 2016,0
