"","Year","Month","Lead","Obs","Clim","CFSv2","ECHAM4p5","Date","D_F"
"78",1989,3,1,9.39,54.4409,31.0011,84.3511,Mar 1989,0
"113",1989,4,1,12.5,60.8048,7.87238,7.96737,Apr 1989,0
"148",1989,5,1,4.67,175.237,46.2115,30.5474,May 1989,0
"183",1989,6,1,482.6,257.06,25.6534,33.9071,Jun 1989,1
"218",1989,7,1,7.67,117.05,163.135,103.5,Jul 1989,0
"253",1989,8,1,17.2,90.9749,8.69695,5.54261,Aug 1989,0
"288",1989,9,1,76.8,102.048,4.18056,8.34034,Sep 1989,0
"323",1989,10,1,5.37,119.596,25.4007,69.7719,Oct 1989,0
"358",1989,11,1,0.232,69.0037,2.68477,2.55571,Nov 1989,-1
"393",1989,12,1,0.209,39.503,0.329263,0.103408,Dec 1989,-1
"9",1990,1,1,26.3,27.3461,4.4549,3.49114,Jan 1990,0
"44",1990,2,1,11,40.1112,39.059,25.8654,Feb 1990,0
"79",1990,3,1,111,54.4409,27.887,10.2606,Mar 1990,0
"114",1990,4,1,301.5,60.8048,127.134,93.5568,Apr 1990,1
"149",1990,5,1,50.9,175.237,139.543,55.9813,May 1990,0
"184",1990,6,1,1033,257.06,74.2248,67.1194,Jun 1990,1
"219",1990,7,1,52.1,117.05,65.0719,330.269,Jul 1990,0
"254",1990,8,1,276.4,90.9749,9.9467,15.6455,Aug 1990,1
"289",1990,9,1,31.8,102.048,45.021,299.796,Sep 1990,0
"324",1990,10,1,24,119.596,21.2967,20.2395,Oct 1990,0
"359",1990,11,1,35.9,69.0037,17.5425,10.5806,Nov 1990,0
"394",1990,12,1,17.4,39.503,48.8759,62.5738,Dec 1990,0
"10",1991,1,1,31.8,27.3461,20.8169,13.4104,Jan 1991,0
"45",1991,2,1,14.3,40.1112,36.6755,36.1457,Feb 1991,0
"80",1991,3,1,6.23,54.4409,12.5044,11.5141,Mar 1991,0
"115",1991,4,1,2.63,60.8048,8.19623,9.13618,Apr 1991,0
"150",1991,5,1,35.4,175.237,28.6461,81.6874,May 1991,0
"185",1991,6,1,1136,257.06,63.1757,54.9148,Jun 1991,1
"220",1991,7,1,40.8,117.05,102.351,966.333,Jul 1991,0
"255",1991,8,1,132.6,90.9749,42.4282,46.9178,Aug 1991,0
"290",1991,9,1,291.7,102.048,162.719,34.2361,Sep 1991,1
"325",1991,10,1,162.7,119.596,16.8179,30.9845,Oct 1991,0
"360",1991,11,1,93,69.0037,82.9725,101.809,Nov 1991,0
"395",1991,12,1,354.2,39.503,358.429,178.344,Dec 1991,1
"11",1992,1,1,129.2,27.3461,58.3881,51.4844,Jan 1992,0
"46",1992,2,1,427.4,40.1112,165.49,168.159,Feb 1992,1
"81",1992,3,1,123.7,54.4409,161.419,119.083,Mar 1992,0
"116",1992,4,1,151.3,60.8048,150.24,80.1054,Apr 1992,0
"151",1992,5,1,856.6,175.237,158.227,390.674,May 1992,1
"186",1992,6,1,846.7,257.06,346.63,145.529,Jun 1992,1
"221",1992,7,1,79.7,117.05,165.639,1677.63,Jul 1992,0
"256",1992,8,1,105.5,90.9749,350.718,21.6494,Aug 1992,0
"291",1992,9,1,99.5,102.048,195.365,1125.39,Sep 1992,0
"326",1992,10,1,1.01,119.596,31.9288,30.3304,Oct 1992,0
"361",1992,11,1,15,69.0037,0.397439,0.106781,Nov 1992,0
"396",1992,12,1,28.2,39.503,17.7349,33.6114,Dec 1992,0
"12",1993,1,1,27.8,27.3461,24.4955,19.4358,Jan 1993,0
"47",1993,2,1,47.1,40.1112,25.5741,38.6039,Feb 1993,0
"82",1993,3,1,33.6,54.4409,18.3043,21.8612,Mar 1993,0
"117",1993,4,1,7.59,60.8048,31.5591,40.5656,Apr 1993,0
"152",1993,5,1,56.4,175.237,128.923,99.7747,May 1993,0
"187",1993,6,1,113.3,257.06,141.366,85.294,Jun 1993,0
"222",1993,7,1,3.96,117.05,73.2357,35.5323,Jul 1993,0
"257",1993,8,1,28.6,90.9749,31.7623,5.16374,Aug 1993,0
"292",1993,9,1,19.5,102.048,61.0008,95.0305,Sep 1993,0
"327",1993,10,1,6.92,119.596,64.8076,32.1157,Oct 1993,0
"362",1993,11,1,0.248,69.0037,3.84034,0.66611,Nov 1993,-1
"397",1993,12,1,0.454,39.503,0.0381609,7.27307,Dec 1993,-1
"13",1994,1,1,1.33,27.3461,5.9721,6.9057,Jan 1994,0
"48",1994,2,1,3.27,40.1112,1.23471,2.6931,Feb 1994,0
"83",1994,3,1,1.23,54.4409,9.71168,7.37182,Mar 1994,0
"118",1994,4,1,1.02,60.8048,3.25288,1.49829,Apr 1994,0
"153",1994,5,1,163.1,175.237,67.0281,84.2518,May 1994,0
"188",1994,6,1,15.5,257.06,153.109,346.244,Jun 1994,0
"223",1994,7,1,0.064,117.05,2.44327,10.4416,Jul 1994,-1
"258",1994,8,1,0,90.9749,6.52467,1.66038,Aug 1994,-1
"293",1994,9,1,4.3,102.048,6.40529e-05,0.0980204,Sep 1994,0
"328",1994,10,1,3.21,119.596,44.3795,16.884,Oct 1994,0
"363",1994,11,1,1.4,69.0037,4.01192,1.21368,Nov 1994,0
"398",1994,12,1,0.913,39.503,1.10043,1.96287,Dec 1994,-1
"14",1995,1,1,0.605,27.3461,14.832,11.5289,Jan 1995,-1
"49",1995,2,1,0.038,40.1112,0.52732,2.24341,Feb 1995,-1
"84",1995,3,1,0.042,54.4409,3.85226,3.01033,Mar 1995,-1
"119",1995,4,1,0.033,60.8048,0.217762,0.0851955,Apr 1995,-1
"154",1995,5,1,180.9,175.237,31.8831,49.5463,May 1995,0
"189",1995,6,1,167.4,257.06,231.049,271.922,Jun 1995,0
"224",1995,7,1,0.623,117.05,47.2242,39.5313,Jul 1995,-1
"259",1995,8,1,139.2,90.9749,0.797369,1.59814,Aug 1995,0
"294",1995,9,1,231.2,102.048,36.6335,33.7189,Sep 1995,0
"329",1995,10,1,25.4,119.596,20.2542,26.7267,Oct 1995,0
"364",1995,11,1,9.04,69.0037,9.38426,7.72388,Nov 1995,0
"399",1995,12,1,1.92,39.503,0.647234,5.01388,Dec 1995,0
"15",1996,1,1,2.36,27.3461,8.63174,8.75728,Jan 1996,0
"50",1996,2,1,0.728,40.1112,2.74031,2.67312,Feb 1996,-1
"85",1996,3,1,0.206,54.4409,4.93767,5.38756,Mar 1996,-1
"120",1996,4,1,0.383,60.8048,0.430015,0.243291,Apr 1996,-1
"155",1996,5,1,0.843,175.237,18.2052,29.2133,May 1996,-1
"190",1996,6,1,58.6,257.06,21.1562,9.15346,Jun 1996,0
"225",1996,7,1,6.17,117.05,6.48798,9.91308,Jul 1996,0
"260",1996,8,1,151.7,90.9749,8.4506,2.30727,Aug 1996,0
"295",1996,9,1,133,102.048,73.2726,131.628,Sep 1996,0
"330",1996,10,1,14,119.596,21.6608,34.3067,Oct 1996,0
"365",1996,11,1,35.4,69.0037,12.2321,7.90298,Nov 1996,0
"400",1996,12,1,20.9,39.503,24.2617,31.7234,Dec 1996,0
"16",1997,1,1,10,27.3461,20.5708,20.1073,Jan 1997,0
"51",1997,2,1,142.6,40.1112,10.795,9.40574,Feb 1997,0
"86",1997,3,1,30.5,54.4409,56.3775,46.9855,Mar 1997,0
"121",1997,4,1,252.5,60.8048,26.9907,41.9971,Apr 1997,0
"156",1997,5,1,118.8,175.237,178.515,69.0936,May 1997,0
"191",1997,6,1,314.5,257.06,209.171,144.117,Jun 1997,1
"226",1997,7,1,83.5,117.05,118.476,50.5367,Jul 1997,0
"261",1997,8,1,15.3,90.9749,31.8852,172.036,Aug 1997,0
"296",1997,9,1,6.83,102.048,67.7481,1.32414,Sep 1997,0
"331",1997,10,1,4.42,119.596,26.8299,25.127,Oct 1997,0
"366",1997,11,1,1.05,69.0037,8.95662,1.08575,Nov 1997,0
"401",1997,12,1,9.43,39.503,0.843864,4.01007,Dec 1997,0
"17",1998,1,1,8.87,27.3461,22.2764,24.8342,Jan 1998,0
"52",1998,2,1,9.54,40.1112,13.1117,11.0336,Feb 1998,0
"87",1998,3,1,20.6,54.4409,6.13481,9.88481,Mar 1998,0
"122",1998,4,1,5.42,60.8048,21.1976,6.07915,Apr 1998,0
"157",1998,5,1,4.81,175.237,35.007,139.994,May 1998,0
"192",1998,6,1,26.3,257.06,20.6027,7.55549,Jun 1998,0
"227",1998,7,1,0.295,117.05,1.16831,9.65645,Jul 1998,-1
"262",1998,8,1,0,90.9749,1.03999,7.98062,Aug 1998,-1
"297",1998,9,1,0,102.048,0.00999645,0.00391171,Sep 1998,-1
"332",1998,10,1,0.941,119.596,23.158,22.2138,Oct 1998,0
"367",1998,11,1,0.692,69.0037,0.632132,0.299485,Nov 1998,-1
"402",1998,12,1,0,39.503,0.864507,0.486016,Dec 1998,-1
"18",1999,1,1,0.95,27.3461,0.522469,0.370765,Jan 1999,0
"53",1999,2,1,0.005,40.1112,0.802116,1.18378,Feb 1999,-1
"88",1999,3,1,2.89,54.4409,0.0123708,0.0278672,Mar 1999,0
"123",1999,4,1,0.622,60.8048,3.84719,10.6549,Apr 1999,-1
"158",1999,5,1,104.1,175.237,88.6124,4.98575,May 1999,0
"193",1999,6,1,1264,257.06,108.077,90.9902,Jun 1999,1
"228",1999,7,1,99.9,117.05,4332.84,400.333,Jul 1999,0
"263",1999,8,1,33.2,90.9749,12.5568,76.9527,Aug 1999,0
"298",1999,9,1,52.6,102.048,7.02123,12.5753,Sep 1999,0
"333",1999,10,1,9,119.596,13.0863,20.369,Oct 1999,0
"368",1999,11,1,1.05,69.0037,2.89123,4.35587,Nov 1999,0
