xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=13, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	8.6230437173451282	66.331105518039479	66.331105518039479
2	2.3722524482773375	18.248095755979527	84.579201274019013
3	1.0214963290210624	7.8576640693927908	92.436865343411796
4	0.47759747541736730	3.6738267339797499	96.110692077391533
5	0.29153747333754604	2.2425959487503553	98.353288026141911
6	9.8503032571064644E-002	0.75771563516203599	99.111003661303940
7	5.5972836643291488E-002	0.43056028187147316	99.541563943175433
8	2.4962866785764003E-002	0.19202205219818472	99.733585995373602
9	2.3113723260745265E-002	0.17779787123650212	99.911383866610123
10	5.0713842589932218E-003	3.9010648146101723E-002	99.950394514756212
11	3.5079231554234988E-003	2.6984024272488461E-002	99.977378539028706
12	2.3824522126393820E-003	1.8326555481841408E-002	99.995705094510541
13	5.5833771362935949E-004	4.2949054894566132E-003	100.00000000000000
