xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1982	5.7606234067440436
1983	1.8417016655804019
1984	-2.0844332597547655
1985	4.5656704410025144
1986	5.2528581075984624
1987	4.2218474203012448
1988	1.9614634981705019
1989	4.4449207307238758
1990	5.4642006294497545
1991	6.1541559671041615
1992	5.8381346122901192
1993	2.8655769902458399
1994	1.0446136388009402
1995	3.8430297814002703
1996	2.1084406850277908
1997	4.1101026052049203
1998	1.5359989811717496
1999	5.7568179836959281
2000	3.5924882136372855
2001	3.0539893322136109
2002	0.90009312574138689
2003	3.8922606141643881
2004	2.8198157583630818
2005	2.0552609362793657
2006	1.5646519988312211
2007	3.6816370557330584
2008	1.8479465911905468
2009	2.3028164184431477
2010	3.3779207911562068
2011	-4.1902889601659226
2012	1.3382642679024075
2013	1.1662360075751228
2014	2.3075486214204819
2015	4.2353626644985702
2016	2.6541146782575118
