xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=13, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	7.7307405909017817	59.467235314629072	59.467235314629072
2	1.4756827165378879	11.351405511829904	70.818640826458974
3	1.2496092325963122	9.6123787122793214	80.431019538738298
4	0.91982910985520028	7.0756085373476925	87.506628076085974
5	0.69643230160882785	5.3571715508371351	92.863799626923125
6	0.34009711001971943	2.6161316155363026	95.479931242459429
7	0.25560715483243684	1.9662088833264366	97.446140125785874
8	0.13557649589541437	1.0428961222724180	98.489036248058284
9	7.5657185925674220E-002	0.58197835327441694	99.071014601332706
10	5.8266534923490647E-002	0.44820411479608180	99.519218716128776
11	4.1754096025045817E-002	0.32118535403881388	99.840404070167594
12	1.7252588391352953E-002	0.13271221839502267	99.973116288562608
13	3.4948824868603436E-003	2.6883711437387249E-002	100.00000000000001
