xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=13, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	7.8234484845833361	60.180372958333280	60.180372958333280
2	1.9608634685479847	15.083565142676788	75.263938101010055
3	1.4896965125273924	11.459203942518391	86.723142043528469
4	0.68936231557301120	5.3027870428693102	92.025929086397767
5	0.37986799118040598	2.9220614706185040	94.947990557016269
6	0.20174016030514849	1.5518473869626788	96.499837943978946
7	0.18965168765206986	1.4588591357851510	97.958697079764093
8	9.7080996846259926E-002	0.74677689881738307	98.705473978581480
9	6.3514660447489643E-002	0.48857431113453509	99.194048289716022
10	5.5306813130918772E-002	0.42543702408399003	99.619485313800013
11	3.9842328402470477E-002	0.30647944924977250	99.925964763049777
12	6.4287166968796739E-003	4.9451666899074355E-002	99.975416429948851
13	3.1958641066488157E-003	2.4583570051144706E-002	100.00000000000000
