xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=X_loadings, cpt:nrow=13, cpt:ncol=4, cpt:row=station, cpt:col=mode 
Station	Latitude	Longitude	1	2	3	4
prec_1	34.882520000000000	-104.06250000000000	-0.28489691740556533	0.34496987249323502	2.3817876325069466E-002	6.2691395551614376E-003
prec_2	34.882520000000000	-101.25000000000000	-0.28481683065575691	0.32859273278163470	0.11222986202995314	0.31369623766031840
prec_3	34.882520000000000	-98.437500000000000	-0.28802932313187951	0.18318144789473229	0.17255626903742000	0.54605132106074461
prec_4	32.091940000000001	-104.06250000000000	-0.26836846094731964	0.29802559802226503	-0.13127318826450191	-0.34089539955404075
prec_5	32.091940000000001	-101.25000000000000	-0.27606187849937786	0.24779493877945802	-0.13991785436793380	-8.9051234791596087E-003
prec_6	32.091940000000001	-98.437500000000000	-0.20809964525461516	-0.37284663049195182	0.15555292097097542	0.33484052207533654
st_1	34.882520000000000	-104.06250000000000	0.32189097421607304	-9.1230814080793823E-002	0.15452078516736098	0.16400822286166444
st_2	34.882520000000000	-101.25000000000000	0.34289224791300432	0.13751020246896919	-2.9178395593650430E-002	9.6308953616497193E-003
st_3	34.882520000000000	-98.437500000000000	0.31501602983312321	0.23131501768618395	-0.11518639214041267	-8.7230170684191435E-002
st_4	32.091940000000001	-104.06250000000000	0.32288582333125138	2.4839113345418884E-002	0.20734604796186401	0.37597034884089020
st_5	32.091940000000001	-101.25000000000000	0.27541556159540537	0.38812935084092171	6.4747988554811217E-002	0.21009105282357160
st_6	32.091940000000001	-98.437500000000000	0.24770301788589244	0.45743976009520371	-3.4340351413368345E-002	7.8691071214035367E-003
06.0	33.008157699999998	-100.18065890000000	-3.6403446785328447E-002	9.4761269893568201E-002	0.89983066828507119	-0.39347394161442695
