xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=13, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	10.474004152957811	80.569262715060077	80.569262715060077
2	1.2350569901070958	9.5004383854391961	90.069701100499259
3	0.85637026170882846	6.5874635516063718	96.657164652105649
4	0.16308380588180962	1.2544908144754585	97.911655466581095
5	0.11333717558914684	0.87182442760882173	98.783479894189924
6	7.1416382683967244E-002	0.54935678987667103	99.332836684066592
7	3.8630370402242237E-002	0.29715669540186335	99.629993379468445
8	1.8158295399999237E-002	0.13967919538460949	99.769672574853061
9	1.4956687908045082E-002	0.11505144544650060	99.884724020299558
10	8.2462258586974424E-003	6.3432506605364938E-002	99.948156526904910
11	3.4504696295843181E-003	2.6542074073725518E-002	99.974698600978627
12	2.3370911246873181E-003	1.7977624036056291E-002	99.992676225014705
13	9.5209074809032217E-004	7.3237749853101702E-003	100.00000000000000
