xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=13, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	10.167742982195803	78.213407555352376	78.213407555352376
2	1.1420133370189205	8.7847179770686239	86.998125532421000
3	0.95630795474070562	7.3562150364669705	94.354340568887963
4	0.37252648438091890	2.8655883413916854	97.219928910279634
5	0.15455618964599352	1.1888937665076431	98.408822676787295
6	0.10778632595629427	0.82912558427918714	99.237948261066464
7	4.0476646891455637E-002	0.31135882224196665	99.549307083308435
8	3.2044236902547041E-002	0.24649413001959278	99.795801213328019
9	1.2879411065441337E-002	9.9072392811087262E-002	99.894873606139114
10	6.4605582783310890E-003	4.9696602141008406E-002	99.944570208280126
11	4.3526945070898309E-003	3.3482265439152566E-002	99.978052473719259
12	2.2854450538069139E-003	1.7580346567745500E-002	99.995632820287014
13	5.6773336268783241E-004	4.3671797129833283E-003	100.00000000000000
