Y	M	Lead	P-Y	P-M	Streamflow_CV
2009 02 1 2009 02 16.6605
2010 02 1 2010 02 2.51547
1984 02 2 1984 03 26.7491
1985 02 2 1985 03 69.9221
1986 02 2 1986 03 16.0914
1987 02 2 1987 03 30.0524
1988 02 2 1988 03 32.9148
1989 02 2 1989 03 110.936
1990 02 2 1990 03 19.2682
1991 02 2 1991 03 17.2151
1992 02 2 1992 03 45.9271
1993 02 2 1993 03 27.005
1994 02 2 1994 03 9.69674
1995 02 2 1995 03 5.91542
1996 02 2 1996 03 10.5258
1997 02 2 1997 03 86.2673
1998 02 2 1998 03 10.4786
1999 02 2 1999 03 0.0513907
2000 02 2 2000 03 4.39378
2001 02 2 2001 03 52.9205
2002 02 2 2002 03 14.2598
2003 02 2 2003 03 7.68104
2004 02 2 2004 03 6.92202
2005 02 2 2005 03 37.6882
2006 02 2 2006 03 15.8591
2007 02 2 2007 03 14.8643
2008 02 2 2008 03 52.6226
2009 02 2 2009 03 29.4064
2010 02 2 2010 03 19.0965
1984 02 3 1984 04 8.84939
1985 02 3 1985 04 50.7682
1986 02 3 1986 04 7.93028
1987 02 3 1987 04 97.0916
1988 02 3 1988 04 10.7618
1989 02 3 1989 04 13.1517
1990 02 3 1990 04 89.9975
1991 02 3 1991 04 6.08065
1992 02 3 1992 04 81.7503
1993 02 3 1993 04 34.1437
1994 02 3 1994 04 2.22434
1995 02 3 1995 04 0.112651
1996 02 3 1996 04 0.376348
1997 02 3 1997 04 28.3797
1998 02 3 1998 04 13.4605
1999 02 3 1999 04 18.4261
2000 02 3 2000 04 6348.6
2001 02 3 2001 04 194.084
2002 02 3 2002 04 53.8978
2003 02 3 2003 04 4.99504
2004 02 3 2004 04 140.282
2005 02 3 2005 04 73.5243
2006 02 3 2006 04 10.0998
2007 02 3 2007 04 45.8007
2008 02 3 2008 04 8.01984
2009 02 3 2009 04 13.4786
2010 02 3 2010 04 39.1364
1984 02 4 1984 05 20.422
1985 02 4 1985 05 34.6479
1986 02 4 1986 05 41.7773
1987 02 4 1987 05 131.256
1988 02 4 1988 05 51.5222
1989 02 4 1989 05 22.393
1990 02 4 1990 05 163.542
1991 02 4 1991 05 31.6281
1992 02 4 1992 05 160.228
1993 02 4 1993 05 35.8012
1994 02 4 1994 05 12.1637
1995 02 4 1995 05 2.85199
1996 02 4 1996 05 6.99468
1997 02 4 1997 05 158.931
1998 02 4 1998 05 144.553
1999 02 4 1999 05 1.85749
2000 02 4 2000 05 15.3931
2001 02 4 2001 05 51.8551
2002 02 4 2002 05 32.9768
2003 02 4 2003 05 55.2568
2004 02 4 2004 05 66.1613
