xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1983	2.8296194807110977
1984	3.4575032645408683
1985	2.9009228790064161
1986	3.0960973515083641
1987	2.9209071048160644
1988	3.4597651045545477
1989	3.1969957802349684
1990	3.2780591009025728
1991	3.4296571308454258
1992	4.3282334250496444
1993	3.8678833494827365
1994	3.2523620136816067
1995	2.9408616801269449
1996	3.0359662804013192
1997	4.4005322947316916
1998	2.9723226403910070
1999	3.0866518371643661
2000	3.4403987702719108
2001	3.3391713876432161
2002	3.7847236654955676
2003	2.9963018962496859
2004	3.6467147600740955
2005	3.1261451663413760
2006	3.6232235181852577
2007	3.4209603955909196
2008	3.2399842139341306
2009	4.0045071254911795
2010	2.4376648287683294
