xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	15.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1983	2.6135540775643005
1984	4.4439525820551475
1985	1.8849750133485599
1986	3.7141379562046755
1987	3.0287825113091351
1988	2.7518650830783149
1989	2.4836035635378462
1990	1.3001223007362508
1991	5.7657913940763637
1992	3.0303821621407714
1993	2.5607609399708777
1994	2.0349765467037688
1995	1.7574163555552917
1996	3.2614437553884645
1997	0.61272380319626629
1998	-3.0279742373374119
1999	1.1043758505407844
2000	3.7555675117580103
2001	4.4516866573656415
2002	3.4194082121082614
2003	3.4453219669952757
2004	4.5696832600451005
2005	3.5584924828130355
2006	3.1185315457389211
2007	3.0090088460251705
2008	3.4950881017648836
2009	4.7586490659209293
2010	3.3601079254994346
