xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=17, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	10.152093049320049	59.718194407765083	59.718194407765083
2	5.6094125593641797	32.996544466848164	92.714738874613246
3	0.92679822308429138	5.4517542534370165	98.166493128050263
4	0.17750008350929100	1.0441181382899487	99.210611266340194
5	6.4526913759768448E-002	0.37957008093981498	99.590181347279994
6	2.5396755403377769E-002	0.14939267884339888	99.739574026123407
7	1.5003048942649630E-002	8.8253229074409717E-002	99.827827255197803
8	1.2921664090501644E-002	7.6009788767656836E-002	99.903837043965467
9	7.0300671058407113E-003	4.1353335916710129E-002	99.945190379882177
10	4.3031458856537105E-003	2.5312622856786569E-002	99.970503002738980
11	2.0789084322547632E-003	1.2228873130910390E-002	99.982731875869874
12	1.7316487376284519E-003	1.0186169044873261E-002	99.992918044914731
13	5.1356220220681354E-004	3.0209541306283195E-003	99.995938999045379
14	4.4629992781442684E-004	2.6252936930260440E-003	99.998564292738422
15	2.0453502266462614E-004	1.2031471921448613E-003	99.999767439930565
16	3.2779262240587189E-005	1.9281918965051317E-004	99.999960259120215
17	6.7559495646576743E-006	3.9740879792104026E-005	100.00000000000000
