xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1982	6.3675603843845270
1983	5.6766496386866381
1984	2.4282395927015124
1985	5.7840592893117755
1986	4.8472859296143289
1987	6.1342695351771015
1988	4.0094088248524091
1989	3.9553750747155036
1990	5.0344510726371441
1991	4.4559847240910910
1992	6.3326234547115288
1993	5.0193566219689014
1994	5.1437523444572717
1995	5.2876278266921606
1996	2.9752977109682193
1997	5.9652020972082287
1998	3.6320926187244615
1999	5.2954372621617125
2000	4.5806937322122101
2001	4.1236600141336659
2002	4.2226455110924821
2003	3.7176672035792100
2004	4.2777765963661478
2005	4.7087489374952920
2006	5.3634389879524882
2007	5.9474536671517786
2008	4.7621055413934643
2009	4.4490348689937464
2010	5.2860534221313937
2011	2.0347449225987804
2012	2.8657950402282419
2013	3.2551349573545538
2014	2.7463941178447229
2015	4.0177310217619340
2016	3.4716014546455165
