xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11.0
cpt:Y	32.932977780000002
cpt:X	-99.215388899999994
1983	3.9887383575802096
1984	3.7467547365144851
1985	4.4201227073032054
1986	5.3942836043343068
1987	3.5971309590480676
1988	3.9063499259175596
1989	3.3322556202867051
1990	4.0374540870128772
1991	4.3483176495864528
1992	3.4348908251621761
1993	4.2033978089122961
1994	4.7254361841025663
1995	3.3913415337217394
1996	3.4888125817899382
1997	3.1100002270107279
1998	1.0051934629516586
1999	-5.3718739876819530
2000	3.9585723822920222
2001	3.5946459267536723
2002	3.8150197556646308
2003	1.9307090877962914
2004	3.1344782101863258
2005	3.4742282904797079
2006	2.2830784317026396
2007	3.9258615562540036
2008	3.4455796190152364
2009	3.6659784078803304
2010	4.1684000729230108
