xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12.0
cpt:Y	32.932977780000002
cpt:X	-99.215388899999994
1982	4.0011164764246478
1983	3.2638036134571951
1984	4.5024334251753491
1985	3.5550931860629444
1986	4.8350150782024555
1987	3.5712611025385197
1988	3.5777655142958773
1989	2.9379702399930454
1990	3.9948792176678785
1991	4.5634483039977782
1992	4.6610576610587797
1993	4.2487653957546758
1994	4.0740608365849829
1995	3.4104587282175682
1996	3.9968465702569924
1997	3.3668272641012460
1998	3.0713498920785813
1999	1.9373286693299774
2000	4.3672402921844373
2001	3.5746604944961380
2002	4.0697920423392615
2003	2.3496851383941557
2004	5.1567718494984254
2005	3.1480255914110007
2006	1.9755434261615965
2007	3.3316559226974052
2008	2.6955728926189657
2009	3.5880819523719203
2010	2.6521238542005889
2011	0.60907348063046074
2012	2.4705165787654098
2013	2.9635950430575773
2014	3.8059412310986382
2015	5.1649642091443750
2016	4.4771578257300071
