xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	02.0
cpt:Y	32.932977780000002
cpt:X	-99.215388899999994
1982	4.4719951868965957
1983	4.7597356933419643
1984	3.7111933126231507
1985	6.2457208795681272
1986	3.6746410345490026
1987	6.1117541690779298
1988	4.8491515922161899
1989	3.7911679623076342
1990	3.6462131552222434
1991	5.1016572797503557
1992	6.8540298752328468
1993	4.7604778517585142
1994	4.7415178597933183
1995	3.9280298693875224
1996	4.2827536314785357
1997	4.2869744750019390
1998	4.0181504904304592
1999	2.8815631809291378
2000	2.7006141429550103
2001	3.5550399111290663
2002	3.3428857454245424
2003	2.9785924760085072
2004	2.3884411485944694
2005	4.2473786316850344
2006	3.0825660591656190
2007	3.0116691930587942
2008	4.0561585058343033
2009	2.7477853642971666
2010	5.0836639080556099
2011	3.8042869107538841
2012	1.9142788507469715
2013	1.6031595430547196
2014	1.7191189804327700
2015	2.3465138598160808
2016	4.9965792694215274
