xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1982	3.4786317408305791
1983	4.8560296444998112
1984	-0.60091518819608991
1985	3.6960498400679271
1986	3.5319462444132692
1987	3.6744677395879162
1988	4.2451231628049779
1989	1.8194825968244239
1990	2.5897413452137368
1991	2.7039741560166357
1992	2.4269837378921144
1993	2.1047419879145073
1994	-0.26879691804797723
1995	0.64941615998288293
1996	1.4237946698440274
1997	3.4010678650223127
1998	1.2483351542431544
1999	3.5501561095581575
2000	2.8819883795569399
2001	2.6325163750697258
2002	4.2493435625102407
2003	3.4286788301359019
2004	3.8773898746587170
2005	2.3839717450751929
2006	1.9557385423270641
2007	2.4803437423802426
2008	3.2636663487584068
2009	3.6117847900526812
2010	6.6565857134430120
2011	-9.1153179334129977
2012	-1.8521676580065751
2013	4.6308522036872199
2014	1.7891888631915320
2015	4.8199898020997018
2016	2.2834766051883761
