M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.8113114,0,0.7528244,0,35,26
01,1,0.7661659,0,0.7057819,0,35,26
01,2,0.151773,0,0.6927816,0,35,26
01,3,0.1867328,0,0.6722547,0.1106097,35,26
01,4,0.09336638,0,0.709203,0,35,26

02,0,0.8903969,0.6030764,0.9569892,0.6021447,35,22
02,1,0.8464838,0.2088402,0.9185987,0.1766303,35,22
02,2,0.8362447,0.2821196,0.936688,0.2764412,35,22
02,3,0.07980933,0.1821578,0.9005093,0.1116241,35,22
02,4,0.03240062,0,0.9299045,0.3126717,35,22

03,0,0.5614876,0.7137064,0.6862745,0.8164954,35,17
03,1,0.4124405,0.1962042,0.7303922,0.1942967,35,17
03,2,0.2095825,0,0.3921569,0,35,17
03,3,0.1316896,0,0.3406863,0,35,17
03,4,0.05968059,0,0.5906863,0.641024,35,17

04,0,0.859386,0.2736641,0.7852941,0.4646076,35,16
04,1,0.8351789,0,0.7823529,0,35,16
04,2,0.8786267,0,0.8411765,0,35,16
04,3,0.8102315,0.05748674,0.6823529,0.2480293,35,16
04,4,0.7674844,0.01038871,0.6088235,0.1412378,35,16

05,0,0.7186318,0.07748031,0.6960784,0,35,17
05,1,0.6755394,0.09876877,0.6715686,0.02468636,35,17
05,2,0.6021295,0,0.4436275,0,35,17
05,3,0.6909499,0,0.6593137,0,35,17
05,4,0.7340992,0,0.7647059,0,35,17

06,0,0.5589183,0.119543,0.7470588,0.1324228,35,16
06,1,0.5158986,0,0.5588235,0,35,16
06,2,0.5132372,0,0.5705882,0,35,16
06,3,0.6229164,0.4317775,0.6735294,0.6146285,35,16
06,4,0.6040062,0,0.6970588,0,35,16

07,0,0.5318416,0,0.5470872,0,35,15
07,1,0.5392786,0,0.8136253,0,35,15
07,2,0.4268177,0,0.5017953,0,35,15
07,3,0.2448586,0,0.1827969,0,35,15
07,4,0.4742731,0,0.5268851,0,35,15

08,0,0.4844603,0,0.4972403,0,35,14
08,1,0.3579893,0,0.1584159,0,35,14
08,2,0.2314416,0,0.288229,0,35,14
08,3,0.2179432,0,0.01980199,0,35,14
08,4,0.3641761,0,0.2244226,0,35,14

09,0,0.7082535,0,0.7612953,0,35,18
09,1,0.4681632,0,0.627775,0,35,18
09,2,0.568584,0,0.7134745,0,35,18
09,3,0.4704072,0,0.5761488,0,35,18
09,4,0.5015433,0,0.5947342,0,35,18

10,0,0.1880919,0,0.3665192,0,35,23
10,1,0,0,0,0.07307843,35,23
10,2,0,0,0,0.08301974,35,23
10,3,0,0,0,0,35,23
10,4,0,0,0,0,35,23

11,0,0.4598249,0,0.5483031,0,35,24
11,1,0.1683945,0,0.1749348,0,35,24
11,2,0.2608574,0,0.2732812,0,35,24
11,3,0.3098907,0,0.3411664,0,35,24
11,4,0.344074,0,0.3681464,0,35,24

12,0,0.7797561,0,0.7477695,0,35,24
12,1,0.73623,0.07957707,0.7676243,0,35,24
12,2,0.7426771,0,0.7711056,0,35,24
12,3,0.7138054,0,0.6927766,0,35,24
12,4,0.7076386,0,0.6840734,0,35,24

