M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.2511081,0,0.3486145,0,34,26
01,1,0.7017571,0.5378031,0.7210256,0.5478736,34,26
01,2,0.2140565,0.0697191,0.8561538,0.5621544,34,25
01,3,0.1801375,0.1616195,0.7915385,0.4304315,34,25
01,4,0.1358289,0.05074099,0.8353846,0.485403,34,25

02,0,0.810848,0.4317343,0.8418972,0.4737039,34,22
02,1,0.7656226,0.4967747,0.8091474,0.5758893,34,22
02,2,0.7726509,0.4796424,0.7888199,0.5772552,34,22
02,3,0.1492743,0,0.7714286,0.5443189,34,21
02,4,0.1914439,0,0.8090909,0.5959718,34,21

03,0,0.5850267,0,0.5196078,0,34,17
03,1,0.4359053,0,0.1813725,0,34,17
03,2,0.4615737,0,0.2598039,0,34,17
03,3,0.4954927,0,0.3578431,0,34,17
03,4,0.1984721,0,0.4,0,34,16

04,0,0.8132926,0,0.55,0,34,16
04,1,0.7714286,0,0.4794118,0,34,16
04,2,0.7601222,0,0.4764706,0,34,16
04,3,0.6614209,0,0.2617647,0,34,16
04,4,0.7714286,0,0.4970588,0,34,16

05,0,0.3486897,0.4729613,0.1970588,0.05902354,34,16
05,1,0.5765146,0.2698268,0.6441176,0,34,16
05,2,0.4519826,0.6916397,0.4294118,0.5058103,34,16
05,3,0.3639697,0.5939543,0.4441176,0.313368,34,16
05,4,0.460845,0.8438686,0.5647059,0.8030739,34,16

06,0,0.382917,0,0.3714286,0,34,15
06,1,0.2785332,0,0.09642857,0,34,15
06,2,0.2773109,0,0.1428571,0,34,15
06,3,0.3677617,0,0.2285714,0,34,15
06,4,0.2391138,0,0.1821429,0,34,15

07,0,0.4817786,0,0.1120879,0,34,14
07,1,0.3599969,0,0,0,34,14
07,2,0.2577737,0,0,0,34,14
07,3,0.5114218,0,0,0,34,14
07,4,0.4441898,0.01172529,0.07252747,0,34,14

08,0,0.3358802,0,0.6189827,0,34,13
08,1,0.3916266,0,0.5502068,0.8447753,34,13
08,2,0.2174345,0.03267514,0.4539206,0.6574247,34,13
08,3,0.2510505,0,0.5859703,0,34,13
08,4,0.2978073,0.04785973,0.4594227,0.6232225,34,13

09,0,0.5552923,0.3874207,0.502451,0.7189376,34,17
09,1,0.4271741,0.6228546,0.2647059,0.5371427,34,17
09,2,0.4030262,0.2208246,0.2745098,0,34,17
09,3,0.4635489,0.599592,0.4068627,0.4893057,34,17
09,4,0.3868256,0.5549643,0.4240196,0.4515872,34,17

10,0,0.3959957,0.2055746,0.5292291,0.6346778,34,22
10,1,0,0,0,0.07586638,34,22
10,2,0,0,0,0.05342452,34,22
10,3,0,0,0,0.06504347,34,22
10,4,0,0,0,0.04350235,34,22

11,0,0.8185499,0,0.9226588,0,34,23
11,1,0.7221331,0,0.8564369,0,34,23
11,2,0.6831691,0,0.8193724,0,34,23
11,3,0.8136603,0,0.9290833,0,34,23
11,4,0.6961571,0,0.861873,0.1042681,34,23

12,0,0.8985862,0,0.921651,0,34,23
12,1,0.7869479,0.5309718,0.749197,0.5571303,34,23
12,2,0.8685619,0,0.8697801,0,34,23
12,3,0.8615314,0.3604767,0.8781814,0.3745106,34,23
12,4,0.8187376,0,0.8307388,0.1500244,34,23

