xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10.0
cpt:Y	32.932977780000002
cpt:X	-99.215388899999994
1982	4.8856287234745421
1983	2.2241305369317517
1984	3.1963385215491620
1985	3.4924291891314962
1986	4.0974187443556609
1987	3.0557599321264215
1988	2.0477834064465776
1989	2.4853744500586306
1990	3.4299521829891324
1991	4.2088021905281749
1992	5.6863755734480037
1993	5.1340626213404654
1994	6.5079758009631261
1995	2.3577159239934229
1996	3.9580666016877233
1997	6.0971614017090632
1998	1.2287153629226979
1999	1.5929006648890689
2000	2.8445395422520430
2001	2.6995517937977556
2002	2.6997612996382299
2003	2.2786412951301891
2004	4.4347100440610223
2005	2.9936751351865634
2006	3.3584181192093672
2007	3.7403307393056453
2008	2.9993794937838714
2009	4.9802106461578184
2010	0.66997475651767013
2011	-1.5913037292814289
2012	0.97420746606703679
2013	0.95171605616378940
2014	1.4010441069894506
2015	1.6738326292688677
2016	-0.33968911693621973
