xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08.0
cpt:Y	32.932977780000002
cpt:X	-99.215388899999994
1982	2.7952736218184291
1983	1.7276750164077281
1984	-9.1301979710768180
1985	2.0811805560492185
1986	2.6169589612756092
1987	2.2740376661902313
1988	2.0166869017890741
1989	0.71058731327619906
1990	1.1822961323060750
1991	2.2280927190170638
1992	2.7704165130110852
1993	1.1170321267184715
1994	0.81084340886446626
1995	1.0313386343360440
1996	0.36672389163443897
1997	2.4444928400739343
1998	1.9569386933777551
1999	1.7652420696870159
2000	3.6861039932376949
2001	-0.84955770601282166
2002	3.3977012915564817
2003	1.3776445324887350
2004	2.1372290866029156
2005	0.77207820777901426
2006	-0.75827591580846743
2007	2.8931267296207084
2008	0.71606949676097187
2009	1.4207977959751799
2010	2.4594948113530331
2011	-5.9579054760203558
2012	-5.1547686513642308
2013	3.9099694603110304
2014	2.4675123978323832
2015	3.8189133881742299
2016	1.4503524694001526
