 Month
	 Year	Observed	ECHAM4p5	W1	wECHAM4p5	CFSv2	W2	wCFSv2	Climatology	W3	wClimatology	Combination	R2	MSSS
 01
	 2002	235.3	234.290901776395	393.328317260803	72.2701523056066	238.095730968597	368.416753207255	78.4099176743742	344.333333333333	334.958879731694	124.722937684876	275.403007664856	0.513611111111111	-0.977848483434981
	 2003	180.8	237.002346879352	393.328317260803	73.1065336975993	233.159447309587	368.416753207255	76.7842959391764	344.333333333333	334.958879731694	124.722937684876	274.613767321651	0.513611111111111	-0.977848483434981
	 2004	171.5	157.146711327709	393.328317260803	48.4739982469219	177.370425651315	368.416753207255	58.4118010709844	344.333333333333	334.958879731694	124.722937684876	231.608737002782	0.513611111111111	-0.977848483434981
	 2005	312.8	327.459631173774	393.328317260803	101.009289048077	336.473546237079	368.416753207255	110.807795472544	344.333333333333	334.958879731694	124.722937684876	336.540022205496	0.513611111111111	-0.977848483434981
	 2006	130.9	156.395458526832	393.328317260803	48.2422643045121	147.035386043765	368.416753207255	48.4218363261289	344.333333333333	334.958879731694	124.722937684876	221.387038315517	0.513611111111111	-0.977848483434981
	 2007	138.6	146.93901931712	393.328317260803	45.3252995535426	146.057726118074	368.416753207255	48.0998724086108	344.333333333333	334.958879731694	124.722937684876	218.148109647029	0.513611111111111	-0.977848483434981 
	 2008	207.5	253.923437986065	393.328317260803	78.3260698476897	214.805273712439	368.416753207255	70.7398816404448	344.333333333333	334.958879731694	124.722937684876	273.78888917301	0.513611111111111	-0.977848483434981 
	 2009	104.7	127.592874166467	393.328317260803	39.3577231518842	116.709695733119	368.416753207255	38.4349505008221	344.333333333333	334.958879731694	124.722937684876	202.515611337582	0.513611111111111	-0.977848483434981
	 2010	523.5	153.8001657329	393.328317260803	47.4417116408234	180.331588707282	368.416753207255	59.3869741683525	344.333333333333	334.958879731694	124.722937684876	231.551623494052	0.513611111111111	-0.977848483434981  
 02
	 2002	278.1	343.062150916452	1156.7703822771	101.766254694166	256.846973821977	1052.27179972384	83.7576853860496	600.261111111111	909.573671281032	226.45424849645	411.978188576665	0.780277777777778	-1.10662242524527
	 2003	223.9	254.127975947498	1156.7703822771	75.3847437150948	271.036817493898	1052.27179972384	88.3849871769349	600.261111111111	909.573671281032	226.45424849645	390.223979388479	0.780277777777778	-1.10662242524527
	 2004	147	241.050534860804	1156.7703822771	71.5054402220654	376.741135585158	1052.27179972384	122.855118893461	600.261111111111	909.573671281032	226.45424849645	420.814807611976	0.780277777777778	-1.10662242524527  
	 2005	447.1	377.281658410252	1156.7703822771	111.917159146377	330.323699110758	1052.27179972384	107.718413240295	600.261111111111	909.573671281032	226.45424849645	446.089820883122	0.780277777777778	-1.10662242524527
