xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	2.8692235782768920
1983	2.7385741001090897
1984	0.92333531325593299
1985	2.2541688605226948
1986	2.3917073636511583
1987	3.9436011700153308
1988	2.6821173356964190
1989	0.23347760493248981
1990	-1.5021819396189742
1991	3.7560844786924639
1992	3.7584418796437196
1993	3.4313481487572313
1994	-1.4950833046202801
1995	2.5088001594358449
1996	0.34536176389272200
1997	2.2067004713152092
1998	1.5532832309191771
1999	0.78321313782426594
2000	-0.70766855347274826
2001	2.1948047823824366
2002	3.2070850531029818
2003	3.2093724391290790
2004	2.7884991481895396
2005	3.2697381936347805
2006	1.1678500445507118
2007	3.1774177778035151
2008	2.3238191831636419
2009	0.95211690744359267
2010	2.7743526598510422
2011	0.22771875120443763
2012	-2.6440767299957577
2013	3.2359695777250490
2014	1.4093943071354542
2015	-1.4822160870852583
2016	2.2039465140011858
