xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	2.4097492553772972
1983	3.0572996147001108
1984	-1.2067755107996625E-002
1985	3.0389105548622797
1986	6.0776859329530613
1987	2.1245263463815176
1988	1.6887171498841416
1989	0.51921186321969071
1990	2.9174337993614259
1991	1.9422461794632491
1992	5.2088585218841272
1993	4.6172960457670147
1994	6.3414590576099350
1995	2.8345589589428930
1996	-0.36886226045573967
1997	6.2408935911670973
1998	1.2816504279734608
1999	3.7205195379504845
2000	1.7452062565350943
2001	0.13222518676360839
2002	2.5024704481501812
2003	-0.35134304522773818
2004	-0.33353160466297638
2005	-1.3405354266956424
2006	-1.5664956082344657
2007	2.8318644145862315
2008	-0.81761467025696355
2009	-3.3949802060219803E-002
2010	1.3544904728052312
2011	-1.4166727376005044
2012	2.7545392603640715
2013	4.8678731431553501
2014	1.1565338052674941
2015	6.5103037928672132
2016	-2.4874179017333171
