xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	1.1650983239010650
1983	1.0640692041100674
1984	3.1229321636134104
1985	5.9064286314094065
1986	4.6146067274383853
1987	2.2322305331566157
1988	0.71579814730204183
1989	1.8261153324120887
1990	3.1542588938369924
1991	3.3137367744120145
1992	1.1812029452596222
1993	-8.1228055292380930
1994	3.5089355181435460
1995	1.8776456282017562
1996	3.2915602209213293
1997	1.8944075251099819
1998	1.4674506113474290
1999	-2.4552526575465623
2000	4.0761691049099964
2001	4.7764085505261429
2002	5.6511896679574125
2003	2.4838661283677461
2004	4.6360047077443793
2005	-1.0866793361418261
2006	-3.3341075425863744
2007	1.4256524584908765
2008	-6.2181447056267123
2009	3.0180438361361421
2010	-10.965228580556234
2011	-2.4534426335553210
2012	0.75789994428595076
2013	2.6211600158887172
2014	-9.3717608647850561
2015	2.0362665884164146
2016	1.1586465243037076
