xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=13, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	7.2682901168207978	55.909923975544594	55.909923975544594
2	4.0921899247644742	31.478384036649796	87.388308012194386
3	0.88419891661432004	6.8015301278024607	94.189838139996851
4	0.48505173110791827	3.7311671623686018	97.921005302365444
5	9.8044259716623380E-002	0.75418661320479519	98.675191915570238
6	6.9799753035633003E-002	0.53692117719717691	99.212113092767424
7	4.3242290988381851E-002	0.33263300760293729	99.544746100370361
8	2.5537453855293976E-002	0.19644195273303056	99.741188053103386
9	1.3375578350754345E-002	0.10288906423657186	99.844077117339950
10	8.1306599664058704E-003	6.2543538203122070E-002	99.906620655543094
11	6.0427243288702090E-003	4.6482494837463140E-002	99.953103150380542
12	3.6657734246306113E-003	2.8198257112543160E-002	99.981301407493078
13	2.4308170258977553E-003	1.8698592506905809E-002	100.00000000000000
