xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=500
cpt:field=undefined, cpt:M=1, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-16.829495645961476
1984	-29.891964936492901
1985	-17.149662445526580
1986	-17.406779000864756
1987	-13.983306321379848
1988	-23.166612003783662
1989	-21.584047729563913
1990	-16.643759280383872
1991	-18.599763037344328
1992	-16.540635426473049
1993	-16.108628220225917
1994	-17.979705458087341
1995	-15.922586517140497
1996	-18.110313505654428
1997	-12.789471048676443
1998	-30.247618455319522
1999	-14.423303547990022
2000	-14.901674670823207
2001	-17.267039135642232
2002	-18.025573469175100
2003	-18.256577709089445
2004	-12.105071180186766
2005	-14.790711647443903
2006	-20.723346769520813
2007	-12.205336161131161
2008	-21.314022148843208
2009	-22.207502555850773
2010	-15.703934136631156
cpt:field=undefined, cpt:M=2, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-15.053705236183777
1984	-27.883788872029822
1985	-15.337610411531513
1986	-15.581260042418334
1987	-12.133516083091573
1988	-21.205070601544300
1989	-19.746996305422659
1990	-14.889663288057919
1991	-16.819024959893330
1992	-14.503656787029044
1993	-14.195279591051980
1994	-16.195188840630106
1995	-14.137896949191896
1996	-16.335263235429000
1997	-10.985854502143347
1998	-28.172056742754666
1999	-12.610527111821055
2000	-13.106789846068528
2001	-15.507338813806177
2002	-16.254499698984233
2003	-16.425187849970197
2004	-10.248017035865313
2005	-12.664029688006735
2006	-18.906299406183464
2007	-10.402610139731983
2008	-19.510523000066172
2009	-20.383608239723323
2010	-13.864084955523639
cpt:field=undefined, cpt:M=3, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-13.989334435441290
1984	-26.680131078860384
1985	-14.251505168598124
1986	-14.487083012925622
1987	-11.024791367442836
1988	-20.029364627745050
1989	-18.645906962585666
1990	-13.838295657254639
1991	-15.751688632941077
1992	-13.282735346287748
1993	-13.048459334945099
1994	-15.125587737592831
1995	-13.068192183328216
1996	-15.271336058508092
1997	-9.9048053100226667
1998	-26.928009432988159
1999	-11.523987677714176
2000	-12.030974261275594
2001	-14.452612067729236
2002	-15.192955951156438
2003	-15.327491928148852
2004	-9.1349384902609252
2005	-11.389341995344790
2006	-17.817200069655055
2007	-9.3220947093348983
2008	-18.429544173650211
2009	-19.290404986097649
2010	-12.761318696984167
cpt:field=undefined, cpt:M=4, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-13.219704241080318
1984	-25.809784597488608
1985	-13.466159132581184
1986	-13.695900391900748
1987	-10.223089537777559
1988	-19.179229678068438
1989	-17.849726153843758
1990	-13.078067855556680
1991	-14.979914112080726
1992	-12.399905786249359
1993	-12.219211204510737
1994	-14.352175591896019
1995	-12.294705080632227
1996	-14.502026641725568
1997	-9.1231152267685864
1998	-26.028457911899899
1999	-10.738327684721897
2000	-11.253068519175981
2001	-13.689955341319004
2002	-14.425369955379917
2003	-14.533764850074867
2004	-8.3300884729596802
2005	-10.467634883529442
2006	-17.029689050500789
2007	-8.5407905809931357
2008	-17.647904970757526
2009	-18.499926487460659
2010	-11.963925336228316
cpt:field=undefined, cpt:M=5, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-12.613093093212981
1984	-25.123790360287966
1985	-12.847160990523024
1986	-13.072301939775196
1987	-9.5912000008235250
1988	-18.509165871523450
1989	-17.222188204008138
1990	-12.478867534665463
1991	-14.371612837749113
1992	-11.704072570881866
1993	-11.565610080288595
1994	-13.742583565864306
1995	-11.685053974601256
1996	-13.895668326006051
1997	-8.5069986526612134
1998	-25.319444693900778
1999	-10.119082086414506
2000	-10.639934706852713
2001	-13.088840577857068
2002	-13.820370014633696
2003	-13.908160894497698
2004	-7.6957175810256189
2005	-9.7411589562692917
2006	-16.408984500721530
2007	-7.9249782108451452
2008	-17.031828499799246
2009	-17.876883014197794
2010	-11.335431670810827
cpt:field=undefined, cpt:M=6, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-12.110416727504223
1984	-24.555332145720861
1985	-12.334219977941572
1986	-12.555548819299025
1987	-9.0675763630414679
1988	-17.953908619408672
1989	-16.702170566553374
1990	-11.982332248929190
1991	-13.867535926350360
1992	-11.127461156683346
1993	-11.023994848022875
1994	-13.237437055965886
1995	-11.179858507278601
1996	-13.393201473006791
1997	-7.9964454895450015
1998	-24.731911495877167
1999	-9.6059360159331568
2000	-10.131853248812611
2001	-12.590718863916843
2002	-13.319028797055491
2003	-13.389745887011998
2004	-7.1700377355596476
2005	-9.1391550528232273
2006	-15.894629450770875
2007	-7.4146771303707943
2008	-16.521308568688926
2009	-17.360589784310051
2010	-10.814622066975238
