Y	M	Lead	P-Y	P-M	Streamflow_CV
2010 02 1 2010 02 164.811
1984 02 2 1984 03 38.6859
1985 02 2 1985 03 285.585
1986 02 2 1986 03 37.7251
1987 02 2 1987 03 141.505
1988 02 2 1988 03 42.3849
1989 02 2 1989 03 101.033
1990 02 2 1990 03 43.5461
1991 02 2 1991 03 67.7088
1992 02 2 1992 03 892.99
1993 02 2 1993 03 94.3621
1994 02 2 1994 03 140.543
1995 02 2 1995 03 30.8496
1996 02 2 1996 03 40.1175
1997 02 2 1997 03 189.345
1998 02 2 1998 03 68.8678
1999 02 2 1999 03 28.9586
2000 02 2 2000 03 7.38016
2001 02 2 2001 03 173.499
2002 02 2 2002 03 47.093
2003 02 2 2003 03 39.4426
2004 02 2 2004 03 42.1918
2005 02 2 2005 03 68.1428
2006 02 2 2006 03 47.9132
2007 02 2 2007 03 27.3615
2008 02 2 2008 03 56.7027
2009 02 2 2009 03 33.6401
2010 02 2 2010 03 157.57
1984 02 3 1984 04 33.7458
1985 02 3 1985 04 94.3873
1986 02 3 1986 04 35.5659
1987 02 3 1987 04 289.435
1988 02 3 1988 04 40.6987
1989 02 3 1989 04 47.9418
1990 02 3 1990 04 156.471
1991 02 3 1991 04 55.2631
1992 02 3 1992 04 917.673
1993 02 3 1993 04 116.795
1994 02 3 1994 04 44.41
1995 02 3 1995 04 57.2686
1996 02 3 1996 04 25.3503
1997 02 3 1997 04 124.769
1998 02 3 1998 04 168.798
1999 02 3 1999 04 41.7353
2000 02 3 2000 04 96.9368
2001 02 3 2001 04 147.556
2002 02 3 2002 04 128.397
2003 02 3 2003 04 28.088
2004 02 3 2004 04 42.7641
2005 02 3 2005 04 64.6554
2006 02 3 2006 04 32.5442
2007 02 3 2007 04 31.2882
2008 02 3 2008 04 78.1701
2009 02 3 2009 04 29.0783
2010 02 3 2010 04 96.8332
1984 02 4 1984 05 96.698
1985 02 4 1985 05 535.458
1986 02 4 1986 05 40.327
1987 02 4 1987 05 180.309
1988 02 4 1988 05 70.8431
1989 02 4 1989 05 77.2493
1990 02 4 1990 05 404.432
1991 02 4 1991 05 77.8338
1992 02 4 1992 05 364.86
1993 02 4 1993 05 196.43
1994 02 4 1994 05 27.743
1995 02 4 1995 05 57.4674
1996 02 4 1996 05 109.417
1997 02 4 1997 05 201.605
1998 02 4 1998 05 74.4334
1999 02 4 1999 05 171.879
2000 02 4 2000 05 33.4266
2001 02 4 2001 05 79.586
2002 02 4 2002 05 278.81
2003 02 4 2003 05 48.214
2004 02 4 2004 05 204.865
2005 02 4 2005 05 39.6286
2006 02 4 2006 05 57.6188
2007 02 4 2007 05 116.787
2008 02 4 2008 05 99.5778
2009 02 4 2009 05 3.03756
2010 02 4 2010 05 2666.97
1983 03 0 1983 03 60.6002
1984 03 0 1984 03 21.7001
1985 03 0 1985 03 210.899
1986 03 0 1986 03 28.8
1987 03 0 1987 03 815.499
1988 03 0 1988 03 43.3999
1989 03 0 1989 03 52.6001
1990 03 0 1990 03 266.2
1991 03 0 1991 03 70.9999
1992 03 0 1992 03 1066
1993 03 0 1993 03 137.499
1994 03 0 1994 03 40.4998
1995 03 0 1995 03 36.6
1996 03 0 1996 03 19.8999
1997 03 0 1997 03 167.099
1998 03 0 1998 03 159.9
1999 03 0 1999 03 25.3999
2000 03 0 2000 03 73.8997
2001 03 0 2001 03 160.999
2002 03 0 2002 03 123.5
2003 03 0 2003 03 21.2001
2004 03 0 2004 03 30.1
2005 03 0 2005 03 70.4997
2006 03 0 2006 03 21.7001
2007 03 0 2007 03 17.3
2008 03 0 2008 03 159.499
2009 03 0 2009 03 14.5001
2010 03 0 2010 03 108.8
1984 03 1 1984 03 68.351
1985 03 1 1985 03 189.176
1986 03 1 1986 03 26.0827
1987 03 1 1987 03 468.771
1988 03 1 1988 03 60.6242
1989 03 1 1989 03 75.1491
1990 03 1 1990 03 53.1714
1991 03 1 1991 03 72.8212
1992 03 1 1992 03 493.772
1993 03 1 1993 03 158.651
1994 03 1 1994 03 93.9881
1995 03 1 1995 03 54.9529
1996 03 1 1996 03 53.1947
1997 03 1 1997 03 184.055
1998 03 1 1998 03 47.6854
1999 03 1 1999 03 51.7069
2000 03 1 2000 03 20.3831
2001 03 1 2001 03 151.903
2002 03 1 2002 03 43.5947
2003 03 1 2003 03 19.3711
2004 03 1 2004 03 32.0985
2005 03 1 2005 03 82.4082
2006 03 1 2006 03 36.5751
2007 03 1 2007 03 59.4229
2008 03 1 2008 03 35.6342
2009 03 1 2009 03 26.8864
2010 03 1 2010 03 127.849
1984 03 2 1984 04 30.6689
1985 03 2 1985 04 80.9001
1986 03 2 1986 04 56.7106
1987 03 2 1987 04 411.625
1988 03 2 1988 04 51.5779
1989 03 2 1989 04 58.1166
1990 03 2 1990 04 147.557
1991 03 2 1991 04 68.2246
1992 03 2 1992 04 349.793
1993 03 2 1993 04 93.4091
1994 03 2 1994 04 53.1509
1995 03 2 1995 04 45.6726
1996 03 2 1996 04 30.1355
1997 03 2 1997 04 116.152
1998 03 2 1998 04 147.078
1999 03 2 1999 04 45.9569
2000 03 2 2000 04 88.2395
2001 03 2 2001 04 122.707
2002 03 2 2002 04 92.6889
2003 03 2 2003 04 39.6526
2004 03 2 2004 04 49.2843
2005 03 2 2005 04 65.4235
2006 03 2 2006 04 26.8841
2007 03 2 2007 04 18.313
2008 03 2 2008 04 115.466
2009 03 2 2009 04 23.7399
