xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=X_loadings, cpt:nrow=31, cpt:ncol=4, cpt:row=station, cpt:col=mode 
Station	Latitude	Longitude	1	2	3	4
PRATE_1	32.598300000000002	-100.31250000000000	-0.18372744663346707	0.12898415223464554	0.26214586778774357	-0.30219441008258652
PRATE_2	32.598300000000002	-101.25000000000000	-0.18204741342611180	0.18333949111651621	0.11016342840576628	-0.13389606586306582
PRATE_3	32.598300000000002	-102.18750000000000	-0.17077721364226114	0.20922044680781152	-3.0285299515294795E-002	-8.8052852698515982E-002
PRATE_4	32.598300000000002	-103.12500000000000	-0.15483535768300097	0.23539307825344846	-0.10436383105372449	-5.7330770700206604E-002
PRATE_5	32.598300000000002	-99.375000000000000	-0.17301212947003186	8.4452043071339328E-002	0.34821671947341110	-0.38081333230756609
PRATE_6	33.543170000000003	-100.31250000000000	-0.18984449803925993	0.16756109481379353	0.17470413761084536	-4.6038605260476373E-003
PRATE_7	33.543170000000003	-101.25000000000000	-0.17982741863091670	0.21095289424260105	-1.7701339740168832E-002	8.1443276113255081E-002
PRATE_8	33.543170000000003	-102.18750000000000	-0.16011693469915936	0.23962538068585629	-0.16778533693043340	0.11089107066694123
PRATE_9	33.543170000000003	-103.12500000000000	-0.14330048722761787	0.24864478301073037	-0.26239219939045960	0.12411032374823006
PRATE_10	33.543170000000003	-99.375000000000000	-0.18672346943182669	0.10723313486809621	0.32972392789303095	-0.12633400851781562
PRATE_11	34.488050000000001	-100.31250000000000	-0.17600244232084195	0.19139638312442803	0.10609692563211587	0.12103020118423559
PRATE_12	34.488050000000001	-101.25000000000000	-0.16266999767408866	0.22507316954515549	-4.5882417114472607E-002	0.18459523396733188
PRATE_13	34.488050000000001	-102.18750000000000	-0.15578166915087904	0.23429436418496258	-0.18023183806938739	0.13700834261347417
PRATE_14	34.488050000000001	-103.12500000000000	-0.15363421472666511	0.22602094117708105	-0.22799091097980187	4.2624954215771796E-002
PRATE_15	34.488050000000001	-99.375000000000000	-0.18739764687510047	0.13833248616326432	0.20628084238340155	1.2077749321691408E-002
TMP_1	32.598300000000002	-100.31250000000000	0.18816974962705926	0.18518735239397807	-1.2262520062036208E-002	7.9601797325259072E-002
TMP_2	32.598300000000002	-101.25000000000000	0.19695627755760031	0.16122813572844499	3.4678155178095235E-002	3.3435148313461449E-002
TMP_3	32.598300000000002	-102.18750000000000	0.20112384945325332	0.13716392006956168	9.5408840902676012E-002	-3.0310773553799471E-002
TMP_4	32.598300000000002	-103.12500000000000	0.19955136309267479	0.11867049423540149	0.12835355576925672	-6.7899174996669004E-002
TMP_5	32.598300000000002	-99.375000000000000	0.17775988919801752	0.19980485862553868	-3.8977267914015734E-002	0.12686125376719032
TMP_6	33.543170000000003	-100.31250000000000	0.18784835477609810	0.19146874730294472	-2.3058255544711109E-002	2.1754098705030867E-002
TMP_7	33.543170000000003	-101.25000000000000	0.19966796484670252	0.16058803177714764	4.5060115916368861E-002	-4.0995985719162853E-002
TMP_8	33.543170000000003	-102.18750000000000	0.20333025140721817	0.13707205207294787	0.10885305045152707	-7.1808537142274406E-002
TMP_9	33.543170000000003	-103.12500000000000	0.20052526714943855	0.12020961101682921	0.15726953661799911	-6.7004998050804482E-002
TMP_10	33.543170000000003	-99.375000000000000	0.17481532402550465	0.21187674863361655	-5.5160956788648269E-002	8.0808782934706794E-002
TMP_11	34.488050000000001	-100.31250000000000	0.18407099402061478	0.19535363946363227	-1.5887067349144718E-003	-1.3057035614084667E-003
TMP_12	34.488050000000001	-101.25000000000000	0.19637208445168922	0.16614196904764864	6.5579981715310570E-002	-3.3995484828363981E-002
TMP_13	34.488050000000001	-102.18750000000000	0.20129156269560752	0.13928065607179210	0.13185127828309914	-4.0809828349149299E-002
TMP_14	34.488050000000001	-103.12500000000000	0.19726818932051662	0.12734709635996591	0.18017509524570707	-3.9173981064777957E-002
TMP_15	34.488050000000001	-99.375000000000000	0.17276070614516789	0.21314210248380994	-3.8808604941209884E-002	4.3654299279030764E-002
08.0	33.008157699999998	-100.18065890000000	-7.1588107527714245E-002	-8.4900941926817797E-002	0.53184026435187359	0.74916527237574326
