xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=28, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	19.999138930097363	64.513351387410864	64.513351387410864
2	7.3417117779604846	23.682941219227377	88.196292606638238
3	1.6916142178794766	5.4568200576757331	93.653112664313980
4	0.94919192949392850	3.0619094499804156	96.715022114294399
5	0.38744780720728839	1.2498316361525437	97.964853750446935
6	0.15922185422805921	0.51361888460664273	98.478472635053564
7	0.13684764030772345	0.44144400099265646	98.919916636046224
8	9.8098466034447482E-002	0.31644666462725007	99.236363300673474
9	7.5241756537313353E-002	0.24271534366875283	99.479078644342223
10	4.3572277214894033E-002	0.14055573295127113	99.619634377293494
11	2.8918109269099938E-002	9.3284223448709500E-002	99.712918600742213
12	2.7844430084191546E-002	8.9820742207069537E-002	99.802739342949280
13	1.6119115175015745E-002	5.1997145725857265E-002	99.854736488675144
14	1.4873172389458025E-002	4.7977975449864610E-002	99.902714464124998
15	9.0383164660461715E-003	2.9155859567890886E-002	99.931870323692891
16	5.4578407609805531E-003	1.7605937938646954E-002	99.949476261631531
17	4.9408479943488471E-003	1.5938219336609188E-002	99.965414480968136
18	3.6684459057209208E-003	1.1833696470067490E-002	99.977248177438213
19	2.8561051786783953E-003	9.2132425118657945E-003	99.986461419950061
20	1.4880246595703603E-003	4.8000795470011636E-003	99.991261499497071
21	9.4767241220522090E-004	3.0570077813071653E-003	99.994318507278379
22	7.3831402362064169E-004	2.3816581407117483E-003	99.996700165419085
23	5.3874133174497060E-004	1.7378752636934541E-003	99.998438040682800
24	3.1301268517658207E-004	1.0097183392792973E-003	99.999447759022061
25	1.3298514719179270E-004	4.2898434577997663E-004	99.999876743367849
26	3.2686851850582571E-005	1.0544145758252447E-004	99.999982184825427
27	5.5227041172646437E-006	1.7815174571821437E-005	100.00000000000000
28	0.0000000000000000	0.0000000000000000	100.00000000000000
