xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	04.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1983	2.5456933337197407
1984	9.2772894739871603E-002
1985	2.3176503606891266
1986	1.3408944557031226
1987	4.1003540258370075
1988	3.4058718812394666
1989	3.8145786383436944
1990	4.5423206665687985
1991	2.1804884786539724
1992	4.9550773808970252
1993	3.7676899910684143
1994	0.82716368784917149
1995	0.24621377388444543
1996	-6.5423352129442502E-002
1997	4.8255724792434584
1998	2.9532740060741647
1999	0.90727301221706225
2000	5.8814386413366169
2001	4.1411810675044674
2002	0.66459061221268456
2003	1.8041327118745296
2004	4.4949791571773421
2005	2.5604105021744568
2006	3.4783566249425681
2007	3.6756515296583578
2008	2.5802854741799064
2009	3.2828276672168144
2010	3.8798009971232341
