M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,0.8682681,0,0.8700855,0,0.9166667,0.898641,35,26,9
01,1,0.8022409,0.8458501,0.7798291,0.843719,0.8833333,0.9034813,35,26,9
01,2,0.2686275,0,0.7928205,0.8364951,0.45,0.6840764,35,26,9
01,3,0.277591,0,0.8044444,0.8536411,0.4,0.5854677,35,26,9
01,4,0.3434174,0,0.7989744,0.5752432,0.4166667,0.6053566,35,26,9

02,0,0.8495798,0.2523182,0.8430265,0.2416275,0.8571429,0.7771813,35,22,13
02,1,0.8336134,0.28838,0.8147939,0.2776151,0.8626374,0.8168827,35,22,13
02,2,0.842577,0.239007,0.8418972,0.2279843,0.8241758,0.7801656,35,22,13
02,3,0.2260504,0,0.822699,0.192951,0.06043956,0.6368199,35,22,13
02,4,0.2137255,0,0.8181818,0.3441675,0.02747253,0.6478754,35,22,13

03,0,0.7270817,0,0.7720588,0,0.7027864,0.2179982,35,17,18
03,1,0.6864626,0.778983,0.7181373,0.8091068,0.6718266,0.4619527,35,17,18
03,2,0.7122348,0.7310335,0.752451,0.7570887,0.6738906,0.4568228,35,17,18
03,3,0.693606,0.7495812,0.7205882,0.7786364,0.6594427,0.443798,35,17,18
03,4,0.2253659,0,0.75,0.807227,0.1764706,0.2460501,35,17,18

04,0,0.606485,0,0.3558824,0,0.5976306,0.4604553,35,16,19
04,1,0.5120448,0,0.2117647,0,0.4122807,0.2363035,35,16,19
04,2,0.6,0,0.4235294,0,0.4438596,0.2545544,35,16,19
04,3,0.5210084,0,0.1823529,0,0.5578947,0.3065582,35,16,19
04,4,0.5596639,0,0.2647059,0,0.6192982,0.2556659,35,16,19

05,0,0.6848739,0.07239277,0.3529412,0,0.8369453,0.4626635,35,17,18
05,1,0.6635854,0,0.4240196,0,0.7564499,0.3543307,35,17,18
05,2,0.6352941,0.1620257,0.4044118,0,0.7564499,0.4092264,35,17,18
05,3,0.6666667,0,0.4191176,0,0.7812178,0,35,17,18
05,4,0.6879552,0,0.4656863,0,0.7688338,0.5724997,35,17,18

06,0,0.6529412,0.1475029,0.6058824,0.186846,0.6157895,0.06221464,35,16,19
06,1,0.6123249,0,0.5294118,0,0.5473684,0,35,16,19
06,2,0.6207283,0.2033702,0.4617647,0.1742238,0.5736842,0.2665539,35,16,19
06,3,0.5854342,0,0.3676471,0,0.6368421,0.5370017,35,16,19
06,4,0.5098039,0,0.3029412,0,0.4789474,0.163001,35,16,19

07,0,0.6576533,0,0.5607143,0,0.7005269,0,35,15,20
07,1,0.5678459,0.04623623,0.5428571,0,0.5838978,0.3637905,35,15,20
07,2,0.6663398,0,0.7464286,0.01849087,0.5861552,0,35,15,20
07,3,0.5974081,0,0.5714286,0,0.6079761,0,35,15,20
07,4,0.5993696,0,0.5392857,0,0.6290446,0,35,15,20

08,0,0.5265461,0,0.695371,0,0.4098895,0.007066183,35,14,21
08,1,0.237979,0,0.452543,0.4793659,0.1768532,0,35,14,21
08,2,0.1641283,0,0.1479043,0.2643393,0.2106634,0,35,14,21
08,3,0.2528614,0,0.3245065,0.4510789,0.2548767,0,35,14,21
08,4,0.3738867,0,0.4657882,0.4255461,0.3771135,0,35,14,21

09,0,0.72364,0,0.5615317,0,0.7807882,0,35,18,17
09,1,0.5300632,0,0.5892673,0,0.5405422,0.379535,35,18,17
09,2,0.5345481,0,0.4117647,0,0.6240805,0,35,18,17
09,3,0.5883673,0,0.5830753,0,0.5970534,0,35,18,17
09,4,0.5353891,0.1250704,0.250774,0,0.7076188,0.7833303,35,18,17

10,0,0.4473722,0.01546489,0.538387,0.1218657,0.3076923,0,35,23,12
10,1,0.3761905,0.1277578,0.3083004,0.1182215,0.4265734,0.5505532,35,23,12
10,2,0.3364146,0,0.2509881,0,0.03496503,0,35,23,12
10,3,0.4134454,0,0.3705534,0,0.4405594,0.4769194,35,23,12
10,4,0.4022409,0.003118389,0.4782609,0,0.2517483,0.495237,35,23,12

11,0,0.7436975,0,0.7556522,0,0.6727273,0,35,24,11
11,1,0.6389356,0.08476812,0.6834783,0.06503942,0.4181818,0.386682,35,24,11
11,2,0.7336134,0.1499228,0.706087,0.1111463,0.9090909,0.7433308,35,24,11
11,3,0.6719888,0.09511465,0.6217391,0.06119041,0.7363636,0.6142667,35,24,11
11,4,0.7098039,0,0.7069565,0,0.7181818,0.481205,35,24,11

12,0,0.8212885,0,0.7869565,0,0.9363636,0.7984989,35,24,11
12,1,0.7212885,0.0482594,0.66,0.02708501,0.8909091,0.899606,35,24,11
12,2,0.7156863,0,0.713913,0,0.8181818,0.9488174,35,24,11
12,3,0.7697479,0.00818882,0.7852174,0,0.6454545,0.9267226,35,24,11
12,4,0.8277311,0.05116187,0.8652174,0.03242828,0.7636364,0.8043722,35,24,11

