M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,0.8397311,0,0.8893828,0,0.4833333,0.6104549,35,26,9
01,1,0.707563,0.2628654,0.6806838,0.216174,0.5,0.7384012,35,26,9
01,2,0.1988796,0,0.725812,0.2615792,0.06666667,0.5033013,35,26,9
01,3,0.1736695,0,0.631453,0.2777377,0,0,35,26,9
01,4,0.2165266,0,0.6082051,0.1533693,0.2833333,0.7012572,35,26,9

02,0,0.8056022,0.4034354,0.8418972,0.4400505,0.7417582,0.1157787,35,22,13
02,1,0.752381,0.4905217,0.7978543,0.5420738,0.7637363,0.08551666,35,22,13
02,2,0.7414566,0.493803,0.7955957,0.6384022,0.7032967,0,35,22,13
02,3,0.1915966,0,0.8204404,0.4988028,0.07142857,0,35,22,13
02,4,0.09943978,0,0.7955957,0.2939975,0,0,35,22,13

03,0,0.5859944,0,0.5196078,0,0.6862745,0,35,17,18
03,1,0.4736695,0,0.3872549,0,0.5975232,0.0564577,35,17,18
03,2,0.4355742,0,0.254902,0,0.5727554,0,35,17,18
03,3,0.4397759,0,0.2254902,0,0.6511868,0,35,17,18
03,4,0.05266106,0,0.3455882,0,0.2260062,0.1643103,35,17,18

04,0,0.8042017,0,0.55,0,0.9,0.5456449,35,16,19
04,1,0.712605,0,0.4205882,0,0.8719298,0.4721381,35,16,19
04,2,0.7633053,0,0.4558824,0,0.9140351,0.3516798,35,16,19
04,3,0.7663866,0,0.5705882,0,0.8736842,0.3704165,35,16,19
04,4,0.7464986,0,0.5,0,0.8824561,0.3034607,35,16,19

05,0,0.2869949,0,0.08088235,0,0.4860681,0.33972,35,17,18
05,1,0.3390994,0.05077414,0.4485294,0.02414404,0.09803922,0.2147721,35,17,18
05,2,0.3091253,0.01623215,0.3137255,0,0.2383901,0.2549123,35,17,18
05,3,0.2406331,0,0.2230392,0,0.2280702,0.2655501,35,17,18
05,4,0.3406401,0,0.3553922,0,0.2012384,0.2438871,35,17,18

06,0,0.4200574,0,0.4323529,0,0.4036859,0,35,16,19
06,1,0.2515406,0,0,0,0.3263158,0,35,16,19
06,2,0.3347339,0,0.2,0,0.3596491,0,35,16,19
06,3,0.3498599,0,0.1882353,0,0.477193,0.01367016,35,16,19
06,4,0.1369748,0,0.1441176,0,0,0,35,16,19

07,0,0.4857483,0,0.06071429,0,0.4866492,0,35,15,20
07,1,0.3393795,0,0,0,0.3429861,0.3132336,35,15,20
07,2,0.2624834,0,0,0,0.1790147,0,35,15,20
07,3,0.3386792,0,0,0,0.4024069,0,35,15,20
07,4,0.3263534,0,0,0,0.2813088,0,35,15,20

08,0,0.3360415,0,0.5896593,0,0.2832088,0,35,14,21
08,1,0.204216,0,0.7392744,0,0.03636364,0,35,14,21
08,2,0.1983332,0,0.2662268,0,0.1727273,0,35,14,21
08,3,0.2899363,0,0.675468,0.8148208,0.287013,0,35,14,21
08,4,0.4498915,0.1861643,0.5896593,0.291551,0.3636364,0.177077,35,14,21

09,0,0.5322592,0,0.4158927,0.3968994,0.7149899,0,35,18,17
09,1,0.3488372,0,0.2012384,0.2698164,0.5429992,0,35,18,17
09,2,0.4429812,0,0.3003096,0,0.5159721,0,35,18,17
09,3,0.2353601,0,0,0,0.5356282,0,35,18,17
09,4,0.4258896,0,0.2837977,0,0.6437366,0,35,18,17

10,0,0.4250491,0.09403837,0.5638745,0.5326124,0.1608392,0,35,23,12
10,1,0,0,0,0,0,0,35,23,12
10,2,0,0,0.07806324,0,0,0,35,23,12
10,3,0,0,0,0,0,0,35,23,12
10,4,0,0,0.03557312,0,0,0,35,23,12

11,0,0.8308705,0,0.9302022,0,0.6545455,0,35,24,11
11,1,0.8396947,0,0.9615134,0,0.5909091,0,35,24,11
11,2,0.7901114,0,0.8949772,0,0.5818182,0,35,24,11
11,3,0.8142027,0,0.8810611,0.1898813,0.6818182,0,35,24,11
11,4,0.8353526,0,0.9171559,0,0.6363636,0,35,24,11

12,0,0.8900876,0,0.9062636,0,0.8454545,0,35,24,11
12,1,0.8027459,0,0.8158295,0,0.8272727,0.6233265,35,24,11
12,2,0.8848417,0,0.8958469,0,0.9,0.7031934,35,24,11
12,3,0.8041469,0,0.8336595,0,0.9454545,0,35,24,11
12,4,0.818997,0,0.8062622,0,0.8545455,0,35,24,11

