M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,0.8397311,0,0.8893828,0,0.4833333,0.6104549,35,26,9
01,1,0.6913165,0.3977358,0.7210256,0.3647803,0.4833333,0.7333759,35,26,9
01,2,0.2120448,0,0.8051282,0.3642531,0.08333333,0.4887105,35,26,9
01,3,0.1815126,0,0.7032479,0.1826321,0.1,0.5284495,35,26,9
01,4,0.1364146,0,0.8017094,0.2709036,0,0.3847488,35,26,9

02,0,0.8056022,0.4034354,0.8418972,0.4400505,0.7417582,0.1157787,35,22,13
02,1,0.7537815,0.4715084,0.8091474,0.54877,0.7142857,0,35,22,13
02,2,0.764986,0.4537323,0.7888199,0.5502233,0.7802198,0,35,22,13
02,3,0.132493,0,0.7730096,0.5159089,0,0,35,22,13
02,4,0.1764706,0,0.8147939,0.5646036,0.03296703,0,35,22,13

03,0,0.5859944,0,0.5196078,0,0.6862745,0,35,17,18
03,1,0.4355742,0,0.1813725,0,0.6945304,0.08536072,35,17,18
03,2,0.4467787,0,0.2598039,0,0.6346749,0.05983077,35,17,18
03,3,0.4663866,0,0.3578431,0,0.5706914,0,35,17,18
03,4,0.189916,0,0.3382353,0,0.4014448,0.073161,35,17,18

04,0,0.8042017,0,0.55,0,0.9,0.5456449,35,16,19
04,1,0.7616246,0,0.4794118,0,0.9017544,0.4704883,35,16,19
04,2,0.7507003,0,0.4764706,0,0.8561404,0.4222131,35,16,19
04,3,0.6462185,0,0.2617647,0,0.8473684,0.3024035,35,16,19
04,4,0.7582633,0,0.4970588,0,0.8912281,0.2229657,35,16,19

05,0,0.2869949,0,0.08088235,0,0.4860681,0.33972,35,17,18
05,1,0.6109672,0,0.6960784,0,0.4778122,0.4347234,35,17,18
05,2,0.4738427,0.1591584,0.4264706,0.1300956,0.3849329,0.3381373,35,17,18
05,3,0.2738287,0,0.2598039,0,0.2941176,0.3039308,35,17,18
05,4,0.4786049,0.3481623,0.5808824,0.3390457,0.4097007,0.4043052,35,17,18

06,0,0.4200574,0,0.4323529,0,0.4036859,0,35,16,19
06,1,0.3098039,0,0.1441176,0,0.3333333,0,35,16,19
06,2,0.3232493,0,0.2382353,0,0.4263158,0,35,16,19
06,3,0.4064426,0,0.3029412,0,0.3666667,0,35,16,19
06,4,0.2742297,0,0.2029412,0,0.1859649,0,35,16,19

07,0,0.4857483,0,0.06071429,0,0.4866492,0,35,15,20
07,1,0.3693536,0,0,0,0.6551336,0,35,15,20
07,2,0.2717277,0,0,0,0.3587815,0.3435024,35,15,20
07,3,0.5176833,0,0,0,0.6611509,0.2536433,35,15,20
07,4,0.4496113,0,0.06428571,0,0.5174878,0.3912654,35,15,20

08,0,0.3360415,0,0.5896593,0,0.2832088,0,35,14,21
08,1,0.3916241,0,0.5434547,0.2252069,0.425974,0,35,14,21
08,2,0.2235451,0,0.4444447,0,0.1246753,0,35,14,21
08,3,0.249037,0,0.5500553,0,0.1376623,0,35,14,21
08,4,0.2963793,0,0.4180421,0,0.3688312,0,35,14,21

09,0,0.5322592,0,0.4158927,0.3968994,0.7149899,0,35,18,17
09,1,0.3695713,0,0.1744066,0,0.6584786,0,35,18,17
09,2,0.3423928,0,0.122807,0,0.7002478,0,35,18,17
09,3,0.4208462,0,0.2920537,0,0.6633927,0,35,18,17
09,4,0.3023256,0,0.1991744,0,0.3759225,0,35,18,17

10,0,0.4250491,0.09403837,0.5638745,0.5326124,0.1608392,0,35,23,12
10,1,0,0,0.02667984,0,0,0,35,23,12
10,2,0.01428571,0,0.04249012,0,0.006993007,0,35,23,12
10,3,0,0,0,0,0,0,35,23,12
10,4,0,0,0,0,0,0,35,23,12

11,0,0.8308705,0,0.9302022,0,0.6545455,0,35,24,11
11,1,0.7436095,0,0.8736682,0,0.5454545,0,35,24,11
11,2,0.7003292,0,0.8393129,0,0.3727273,0,35,24,11
11,3,0.8210659,0,0.9375952,0,0.6545455,0,35,24,11
11,4,0.7125149,0,0.8767123,0.05535219,0.3636364,0,35,24,11

12,0,0.8900876,0,0.9062636,0,0.8454545,0,35,24,11
12,1,0.7828524,0.4839427,0.7436399,0.4918189,0.9,0.3350696,35,24,11
12,2,0.8638274,0,0.860187,0,0.7545455,0.3600173,35,24,11
12,3,0.8571029,0.2964447,0.8684497,0.2823777,0.9,0.5623361,35,24,11
12,4,0.8184366,0,0.824962,0.02492351,0.8090909,0,35,24,11

