Y M L ENSO 0.0001 0.0001
1982 01 0 0 221.4 258.5
1983 01 0 1 136.3 167.3
1984 01 0 1 104.8 77.8
1985 01 0 1 1506 1634
1986 01 0 1 143.4 138.9
1987 01 0 1 538.2 830.5
1988 01 0 1 272.1 306.1
1989 01 0 1 225.8 188.3
1990 01 0 0 156.9 191.4
1991 01 0 1 223.4 197.2
1992 01 0 1 842.8 3179
1993 01 0 0 326.9 370.7
1994 01 0 0 171.4 158.2
1995 01 0 1 253.6 303.5
1996 01 0 1 127.3 136.2
1997 01 0 0 147.3 359.7
1998 01 0 1 262.5 280.1
1999 01 0 1 228.5 270.5
2000 01 0 1 143.1 141.9
2001 01 0 1 524.0 549.2
2002 01 0 0 235.3 313.6
2003 01 0 1 180.8 230.1
2004 01 0 0 171.5 157.8
2005 01 0 1 312.8 429.7
2006 01 0 1 130.9 132.4
2007 01 0 1 138.6 99.5
2008 01 0 1 207.5 227.3
2009 01 0 1 104.7 103.5
2010 01 0 1 523.5 184.5
2011 01 0 1 122.7 107.6
2012 01 0 1 124.3 128.3
2013 01 0 0 91.9 54.9
2014 01 0 0 91.1 121.1
2015 01 0 1 82.9 63.1
2016 01 0 1 146.6 214.8
1982 01 1 0 259.492 229.664
1983 01 1 1 190.813 160.874
1984 01 1 1 128.959 99.489
1985 01 1 1 604.453 728.661
1986 01 1 1 157.332 153.009
1987 01 1 1 506.1 488.235
1988 01 1 1 283.909 259.357
1989 01 1 1 176.963 214.032
1990 01 1 0 190.691 158.232
1991 01 1 1 218.237 170.79
1992 01 1 1 1239.77 1737.67
1993 01 1 0 306.045 275.921
1994 01 1 0 172.037 149.301
1995 01 1 1 259.94 240.208
1996 01 1 1 166.269 151.831
1997 01 1 0 310.37 296.551
1998 01 1 1 277.273 217.849
1999 01 1 1 228.512 309.467
2000 01 1 1 153.624 181.783
2001 01 1 1 401.645 401.672
2002 01 1 0 266.903 236.188
2003 01 1 1 214.549 206.867
2004 01 1 0 173.524 148.091
2005 01 1 1 326.873 321.554
2006 01 1 1 145.865 142.953
2007 01 1 1 128.075 125.848
2008 01 1 1 230.956 252.25
2009 01 1 1 128.115 125.977
2010 01 1 1 173.959 156.754
2011 01 1 1 121.572 126.648
2012 01 1 1 91.2867 152.93
2013 01 1 0 74.1477 80.1898
2014 01 1 0 137.715 137.758
2015 01 1 1 81.8564 86.7464
2016 01 1 1 177.626 195.827
1982 02 2 0 324.035 256.114
1983 02 2 1 227.476 227.962
1984 02 2 0 186.643 115.684
1985 02 2 1 846.349 2680.37
1986 02 2 1 203.959 144.9
1987 02 2 1 755.856 712.991
1988 02 2 0 311.242 336.126
1989 02 2 1 265.253 229.677
1990 02 2 0 310.231 190.772
1991 02 2 0 290.503 275.114
1992 02 2 1 731.934 743.107
1993 02 2 1 329.539 340.317
1994 02 2 0 244.639 217.923
1995 02 2 1 354.271 334.973
1996 02 2 1 190.602 130.859
1997 02 2 0 161.452 164.878
1998 02 2 1 283.569 301.778
1999 02 2 1 232.653 223.254
2000 02 2 1 207.127 138.927
2001 02 2 1 595.198 533.732
2002 02 2 0 316.124 270.397
2003 02 2 1 293.114 295.402
2004 02 2 0 216.881 197.798
2005 02 2 0 371.28 405.028
2006 02 2 1 203.211 167.886
2007 02 2 0 229.021 224.694
2008 02 2 1 212.393 194.785
2009 02 2 1 114.609 112.729
2010 02 2 1 564.176 462.136
2011 02 2 1 119.948 100.727
2012 02 2 1 86.9912 123.089
2013 02 2 0 86.6885 106.236
2014 02 2 0 112.518 154.397
2015 02 2 1 146.494 137.395
2016 02 2 1 181.9 243.085
1982 03 3 0 247.659 314.602
1983 03 3 1 329.237 365.025
1984 03 3 0 158.495 130.776
1985 03 3 1 322.395 404.303
1986 03 3 0 461.252 554.292
