Y M L ENSO 0.0001 0.0001
1982 01 0 0 53.8 44.7
1983 01 0 1 64.4 52.5
1984 01 0 1 33.2 30.7
1985 01 0 1 249.9 66.1
1986 01 0 1 26.9 29.2
1987 01 0 1 294.5 410.8
1988 01 0 1 71.2 193.4
1989 01 0 1 29.4 38.2
1990 01 0 0 30.2 14.5
1991 01 0 1 128.7 51.7
1992 01 0 1 689.4 1593
1993 01 0 0 78.3 86.3
1994 01 0 0 61.6 37.5
1995 01 0 1 42.3 37.8
1996 01 0 1 38.5 35.5
1997 01 0 0 39.8 69.1
1998 01 0 1 35.2 44.7
1999 01 0 1 14.9 14.9
2000 01 0 1 12.2 7.60
2001 01 0 1 20.2 22.6
2002 01 0 0 20.9 30.5
2003 01 0 1 15.5 30.6
2004 01 0 0 6.14 2.30
2005 01 0 1 58.4 100.3
2006 01 0 1 16.6 17.9
2007 01 0 1 13.5 5.98
2008 01 0 1 48.8 58.2
2009 01 0 1 12.4 12.3
2010 01 0 1 110.1 13.8
2011 01 0 1 34.0 37.4
2012 01 0 1 11.1 8.84
2013 01 0 0 8.60 4.33
2014 01 0 0 11.6 14.2
2015 01 0 1 9.35 13.1
2016 01 0 1 204.2 464.3
1982 01 1 0 55.5828 45.2584
1983 01 1 1 67.1614 63.6075
1984 01 1 1 38.228 32.5445
1985 01 1 1 57.4635 51.6499
1986 01 1 1 31.9866 31.897
1987 01 1 1 217.788 210.509
1988 01 1 1 201.003 105.798
1989 01 1 1 30.1977 41.3794
1990 01 1 0 17.4574 19.1905
1991 01 1 1 51.11 45.8341
1992 01 1 1 515.918 599.854
1993 01 1 0 74.7815 72.8981
1994 01 1 0 39.6753 35.3132
1995 01 1 1 41.3667 39.1908
1996 01 1 1 38.7988 35.5983
1997 01 1 0 65.1036 65.5426
1998 01 1 1 53.3721 68.873
1999 01 1 1 19.7903 16.6964
2000 01 1 1 8.91177 12.446
2001 01 1 1 32.6705 24.559
2002 01 1 0 36.3748 30.1696
2003 01 1 1 34.5114 37.6117
2004 01 1 0 6.32133 5.497
2005 01 1 1 75.8081 72.5542
2006 01 1 1 16.8502 21.7706
2007 01 1 1 12.5871 14.4563
2008 01 1 1 48.5239 52.3478
2009 01 1 1 14.7676 15.1132
2010 01 1 1 18.9367 14.4349
2011 01 1 1 34.2234 31.5555
2012 01 1 1 10.5876 14.9431
2013 01 1 0 9.48223 8.26013
2014 01 1 0 21.445 25.9946
2015 01 1 1 18.3183 21.3119
2016 01 1 1 150.712 294.074
1982 02 2 0 81.2058 82.03
1983 02 2 1 114.809 103.163
1984 02 2 0 43.0797 43.3694
1985 02 2 1 392.769 329.899
1986 02 2 1 34.7513 32.5258
1987 02 2 1 446.744 426.822
1988 02 2 0 123.424 108.367
1989 02 2 1 29.0804 37.6542
1990 02 2 0 36.2476 42.0469
1991 02 2 0 158.939 166.722
1992 02 2 1 759.294 658.23
1993 02 2 1 103.206 81.6806
1994 02 2 0 89.1991 81.8693
1995 02 2 1 59.2564 54.0938
1996 02 2 1 50.3841 49.7074
1997 02 2 0 57.6217 47.7805
1998 02 2 1 60.5509 55.9267
1999 02 2 1 20.1961 19.7051
2000 02 2 1 11.1077 13.5061
2001 02 2 1 19.8964 26.3453
2002 02 2 0 25.4588 21.8441
2003 02 2 1 18.3696 18.7182
2004 02 2 0 6.97508 5.88113
2005 02 2 0 76.7803 77.8516
2006 02 2 1 19.2236 19.8998
2007 02 2 0 17.2338 19.2116
2008 02 2 1 71.9011 66.7866
2009 02 2 1 17.2583 15.3452
2010 02 2 1 153.295 161.294
2011 02 2 1 42.9249 44.4126
2012 02 2 1 11.0012 13.8203
2013 02 2 0 12.5709 10.2697
2014 02 2 0 17.4742 15.2601
2015 02 2 1 10.2481 12.239
2016 02 2 1 318.153 470.109
1982 03 3 0 41.019 58.1427
1983 03 3 1 203.98 101.874
1984 03 3 0 35.47 39.1549
1985 03 3 1 199.762 233.645
1986 03 3 0 30.7301 37.7194
1987 03 3 1 240.764 282.477
1988 03 3 0 43.9209 42.7193
1989 03 3 1 92.0139 84.3249
1990 03 3 0 22.8346 36.0486
1991 03 3 0 69.7 82.2295
1992 03 3 1 914.347 1013.11
1993 03 3 1 67.2586 77.5066
1994 03 3 0 131.939 127.883
1995 03 3 0 40.3518 46.4152
1996 03 3 0 44.5294 36.8576
1997 03 3 0 201.857 191.374
1998 03 3 1 93.57 47.9225
1999 03 3 1 43.2005 20.3673
2000 03 3 1 23.7632 15.7816
2001 03 3 0 145.822 85.3103
2002 03 3 0 37.8417 30.8269
2003 03 3 1 28.154 24.1991
2004 03 3 0 27.9274 24.1314
2005 03 3 0 68.9539 70.9501
2006 03 3 1 15.9417 22.8335
2007 03 3 0 19.7797 22.9428
2008 03 3 1 61.1179 46.9039
2009 03 3 1 26.5278 14.8925
2010 03 3 1 125.824 86.3838
2011 03 3 1 51.3365 53.7751
2012 03 3 0 22.5422 23.7823
2013 03 3 0 22.733 19.7208
2014 03 3 0 16.1537 24.5295
2015 03 3 1 15.3783 19.3047
2016 03 3 1 61.9845 43.6864
1982 04 4 0 62.0675 40.1594
1983 04 4 1 93.6634 56.3964
1984 04 4 0 31.2868 26.2587
1985 04 4 1 141.681 141.226
1986 04 4 0 38.6037 26.8388
1987 04 4 1 469.607 588.345
1988 04 4 0 50.5923 59.6208
1989 04 4 1 52.6559 67.4056
1990 04 4 0 156.363 159.205
1991 04 4 0 66.708 69.9576
1992 04 4 1 548.451 672.133
1993 04 4 1 114.559 117.029
1994 04 4 0 50.3361 36.6703
1995 04 4 0 44.4163 41.7644
1996 04 4 0 31.3879 28.1439
1997 04 4 1 150.437 127.266
1998 04 4 1 175.566 147.334
1999 04 4 1 34.7973 38.3201
2000 04 4 1 105.482 121.577
2001 04 4 0 311.002 156.375
2002 04 4 0 94.494 84.4668
2003 04 4 0 29.1993 30.7849
2004 04 4 0 37.5288 39.914
2005 04 4 1 75.8532 96.0485
2006 04 4 0 33.8717 32.4295
2007 04 4 0 22.066 20.4708
2008 04 4 1 109.834 130.173
2009 04 4 0 26.7939 20.3541
2010 04 4 1 89.2589 121.176
2011 04 4 1 35.3694 35.8153
2012 04 4 0 20.6781 23.3297
2013 04 4 0 21.9114 17.5202
2014 04 4 0 8.432 7.48793
2015 04 4 1 19.4597 20.4917
2016 04 4 1 26.3782 47.5413
1982 02 0 0 49.8 53.8
1983 02 0 1 114.1 64.4
1984 02 0 0 28.4 33.2
1985 02 0 1 438.4 249.9
1986 02 0 1 29.2 26.9
1987 02 0 1 784.5 294.5
1988 02 0 0 52.9 71.2
1989 02 0 1 98.9 29.4
1990 02 0 0 24.6 30.2
1991 02 0 0 100.9 128.7
1992 02 0 1 4268 689.4
1993 02 0 1 87.3 78.3
1994 02 0 0 178.9 61.6
1995 02 0 1 34.6 42.3
1996 02 0 1 28.2 38.5
1997 02 0 0 291.0 39.8
1998 02 0 1 43.2 35.2
1999 02 0 1 25.4 14.9
2000 02 0 1 8.18 12.2
2001 02 0 1 227.5 20.2
2002 02 0 0 23.9 20.9
2003 02 0 1 17.8 15.5
2004 02 0 0 14.8 6.14
2005 02 0 0 84.1 58.4
2006 02 0 1 14.2 16.6
2007 02 0 0 13.2 13.5
2008 02 0 1 42.9 48.8
2009 02 0 1 10.2 12.4
2010 02 0 1 180.4 110.1
2011 02 0 1 38.1 34.0
2012 02 0 1 11.2 11.1
2013 02 0 0 8.32 8.60
2014 02 0 0 10.9 11.6
2015 02 0 1 8.62 9.35
2016 02 0 1 40.2 204.2
1982 02 1 0 66.0849 81.0903
1983 02 1 1 123.522 119.141
1984 02 1 0 42.4154 45.323
1985 02 1 1 546.452 350.965
1986 02 1 1 40.7697 34.9717
1987 02 1 1 434.492 388.862
1988 02 1 0 152.095 94.491
1989 02 1 1 36.5199 27.7785
1990 02 1 0 40.1047 36.1532
1991 02 1 0 131.734 157.744
1992 02 1 1 602.531 779.1
1993 02 1 1 96.9168 90.5985
1994 02 1 0 114.617 83.1568
1995 02 1 1 53.0123 58.9213
1996 02 1 1 71.7201 63.2827
1997 02 1 0 69.8849 71.2294
1998 02 1 1 49.9875 86.0546
1999 02 1 1 18.3737 18.7042
2000 02 1 1 12.2737 11.1339
2001 02 1 1 28.8007 23.2445
2002 02 1 0 27.0397 27.3308
2003 02 1 1 19.4422 17.968
2004 02 1 0 10.1589 7.2969
2005 02 1 0 70.196 55.5313
2006 02 1 1 23.09 19.0288
2007 02 1 0 21.566 18.2329
2008 02 1 1 64.1887 58.3353
2009 02 1 1 17.0639 16.3077
2010 02 1 1 154.896 85.737
2011 02 1 1 43.8192 52.8777
2012 02 1 1 4.72404 13.1014
2013 02 1 0 1.14702 11.1711
2014 02 1 0 3.04821 12.5848
2015 02 1 1 9.70498 10.6607
2016 02 1 1 366.403 418.718
1982 03 2 0 48.3322 64.7564
1983 03 2 1 102.654 135.571
1984 03 2 0 42.9357 34.4471
1985 03 2 1 282.186 234.162
1986 03 2 0 47.2483 38.2189
1987 03 2 1 314.192 258.597
1988 03 2 0 45.9365 60.0333
1989 03 2 1 92.4054 84.113
1990 03 2 0 31.9499 28.1546
1991 03 2 0 87.1431 80.0377
1992 03 2 1 1042.4 1157.24
1993 03 2 1 51.2617 76.3321
1994 03 2 0 123.587 117.185
1995 03 2 0 45.3685 45.3545
1996 03 2 0 44.8302 38.1102
1997 03 2 0 163.374 170.515
1998 03 2 1 49.1049 66.0001
1999 03 2 1 33.4119 32.1664
2000 03 2 1 15.1699 16.3536
2001 03 2 0 150.522 118.437
2002 03 2 0 31.1716 28.298
2003 03 2 1 27.6261 21.1305
2004 03 2 0 26.4968 21.5598
