Y	M	L	ENSO	(m,m0)_(CV)
1983 02 1 1 0.147399
1984 02 1 0 16.4593
1985 02 1 1 289.852
1986 02 1 1 6.34794
1987 02 1 1 81.8218
1988 02 1 0 64.5733
1989 02 1 1 0.255623
1990 02 1 0 0.00105375
1991 02 1 0 5.09074
1992 02 1 1 151.913
1993 02 1 1 89.7958
1994 02 1 0 0.00109013
1995 02 1 1 19.2914
1996 02 1 1 0.000420061
1997 02 1 0 58.8579
1998 02 1 1 1.88776
1999 02 1 1 114.937
2000 02 1 1 2.08933
2001 02 1 1 62.9508
2002 02 1 0 83.561
2003 02 1 1 18.0578
2004 02 1 0 12.8347
2005 02 1 0 180.105
2006 02 1 1 0.188571
2007 02 1 0 67.698
2008 02 1 1 62.1056
2009 02 1 1 0.180324
2010 02 1 1 69.5583
2011 02 1 1 0.445557
2012 02 1 1 0.000207938
2013 02 1 0 0.000225983
2014 02 1 0 0.147207
2015 02 1 1 0.00270738
2016 02 1 1 3.88553
1982 03 2 0 17.6233
1983 03 2 1 15.4649
1984 03 2 0 2.51767
1985 03 2 1 9.52737
1986 03 2 0 10.9321
1987 03 2 1 51.6041
1988 03 2 0 14.616
1989 03 2 1 1.26298
1990 03 2 0 0.222644
1991 03 2 0 42.7806
1992 03 2 1 42.8816
1993 03 2 1 30.9183
1994 03 2 0 0.22423
1995 03 2 0 12.2902
1996 03 2 0 1.4125
1997 03 2 0 9.08569
1998 03 2 1 4.72696
1999 03 2 1 2.18849
2000 03 2 1 0.492792
2001 03 2 0 8.97825
2002 03 2 0 24.707
2003 03 2 1 24.7635
2004 03 2 0 16.2566
2005 03 2 0 26.3045
2006 03 2 1 3.21507
2007 03 2 0 23.9847
2008 03 2 1 10.2146
2009 03 2 1 2.59119
2010 03 2 1 16.0282
2011 03 2 1 1.25573
2012 03 2 0 0.0710709
2013 03 2 0 25.431
2014 03 2 0 4.09348
2015 03 2 1 0.227134
2016 03 2 1 9.0607
1982 04 3 0 19.3958
1983 04 3 1 3.47396
1984 04 3 0 0.66146
1985 04 3 1 16.9078
1986 04 3 0 1.33695
1987 04 3 1 90.3435
1988 04 3 0 22.3038
1989 04 3 1 0.443005
1990 04 3 0 86.605
1991 04 3 0 1.71355
1992 04 3 1 841.313
1993 04 3 1 80.4863
1994 04 3 0 6.66987
1995 04 3 0 6.18642
1996 04 3 0 4.89808e-06
1997 04 3 1 62.6573
1998 04 3 1 26.0629
1999 04 3 1 32.5356
2000 04 3 1 15.3081
2001 04 3 0 60.4377
2002 04 3 0 0.52818
2003 04 3 0 79.7484
2004 04 3 0 110.7
2005 04 3 1 209.599
2006 04 3 0 0.16114
2007 04 3 0 13.4759
2008 04 3 1 6.50938
2009 04 3 0 9.57771e-06
2010 04 3 1 7.85834
2011 04 3 1 0.0467989
2012 04 3 0 68.789
2013 04 3 0 5.00293e-05
2014 04 3 0 0.0186578
2015 04 3 1 52.8267
2016 04 3 1 11.2848
1982 05 4 1 51.7865
1983 05 4 1 0.184763
1984 05 4 0 0.28269
1985 05 4 0 2205.9
1986 05 4 0 7.42583
1987 05 4 1 90.19
1988 05 4 1 5.86603
1989 05 4 1 20.6873
1990 05 4 0 218.427
1991 05 4 1 270.077
1992 05 4 1 2024.83
1993 05 4 1 96.0855
1994 05 4 1 7.93586
1995 05 4 0 31.9992
1996 05 4 0 0.154584
1997 05 4 1 63.5975
1998 05 4 1 2.19442
1999 05 4 1 947.168
2000 05 4 0 19.1603
2001 05 4 0 108.789
2002 05 4 1 2.18688
2003 05 4 0 108.589
2004 05 4 0 3949.24
2005 05 4 1 100.037
2006 05 4 0 1.91697
2007 05 4 0 12.6065
2008 05 4 0 46.5155
2009 05 4 0 0.0194789
2010 05 4 0 13.0768
2011 05 4 0 0.219587
2012 05 4 0 68.2158
2013 05 4 0 0.0284581
2014 05 4 1 0.387626
2015 05 4 1 424.432
2016 05 4 1 8.18534
1982 03 0 0 92.1 46.4
1983 03 0 1 0.416 1.17
