Y	M	L	ENSO	(m,m0)_(CV)
1982 01 0 0 22.1 29.4
1983 01 0 1 46.5 6.58
1984 01 0 1 26.1 25.9
1985 01 0 1 78.4 164.7
1986 01 0 1 18.4 28.8
1987 01 0 1 61.5 98.3
1988 01 0 1 13.5 8.41
1989 01 0 1 3.14 2.38
1990 01 0 0 26.3 0.209
1991 01 0 1 31.8 17.4
1992 01 0 1 129.2 354.2
1993 01 0 0 27.8 28.2
1994 01 0 0 1.33 0.454
1995 01 0 1 0.605 0.913
1996 01 0 1 2.36 1.92
1997 01 0 0 10.0 20.9
1998 01 0 1 8.87 9.43
1999 01 0 1 0.950 0.0
2000 01 0 1 0.329 0.0
2001 01 0 1 77.1 70.3
2002 01 0 0 6.30 23.7
2003 01 0 1 16.7 35.7
2004 01 0 0 2.42 1.21
2005 01 0 1 120.1 207.4
2006 01 0 1 14.9 16.4
2007 01 0 1 37.9 47.1
2008 01 0 1 20.5 26.5
2009 01 0 1 27.2 41.0
2010 01 0 1 13.4 6.65
2011 01 0 1 24.3 26.4
2012 01 0 1 3.66 4.41
2013 01 0 0 2.70 0.0
2014 01 0 0 8.35 4.04
2015 01 0 1 32.7 32.5
2016 01 0 1 39.7 44.0
1982 01 1 0 19.0388
1983 01 1 1 13.3813
1984 01 1 1 16.4203
1985 01 1 1 27.0189
1986 01 1 1 18.1344
1987 01 1 1 31.8618
1988 01 1 1 12.5036
1989 01 1 1 14.3937
1990 01 1 0 3.49114
1991 01 1 1 13.4104
1992 01 1 1 51.4844
1993 01 1 0 19.4358
1994 01 1 0 6.9057
1995 01 1 1 11.5289
1996 01 1 1 8.75728
1997 01 1 0 20.1073
1998 01 1 1 24.8342
1999 01 1 1 0.370765
2000 01 1 1 0.590762
2001 01 1 1 17.2007
2002 01 1 0 10.8809
2003 01 1 1 28.796
2004 01 1 0 7.13901
2005 01 1 1 28.4227
2006 01 1 1 14.1068
2007 01 1 1 39.2261
2008 01 1 1 17.6476
2009 01 1 1 13.0013
2010 01 1 1 21.6901
2011 01 1 1 27.3191
2012 01 1 1 10.9895
2013 01 1 0 0.312397
2014 01 1 0 11.9892
2015 01 1 1 23.0132
2016 01 1 1 32.3288
1982 02 2 0 18.5177
1983 02 2 1 60.9993
1984 02 2 0 33.815
1985 02 2 1 78.482
1986 02 2 1 19.7439
1987 02 2 1 76.2998
1988 02 2 0 7.9604
1989 02 2 1 1.48272
1990 02 2 0 26.1341
1991 02 2 0 41.6648
1992 02 2 1 192.579
1993 02 2 1 30.375
1994 02 2 0 1.6057
1995 02 2 1 0.965152
1996 02 2 1 1.98512
1997 02 2 0 8.56288
1998 02 2 1 9.74689
1999 02 2 1 0.703644
2000 02 2 1 0.234216
2001 02 2 1 73.2847
2002 02 2 0 5.99893
2003 02 2 1 23.793
2004 02 2 0 1.97636
2005 02 2 0 215.749
2006 02 2 1 19.0268
2007 02 2 0 49.459
2008 02 2 1 15.6807
2009 02 2 1 22.0357
2010 02 2 1 8.4421
2011 02 2 1 12.7623
2012 02 2 1 2.28638
2013 02 2 0 2.60243
2014 02 2 0 9.93721
2015 02 2 1 44.9059
2016 02 2 1 42.5028
1982 03 3 0 20.4332
1983 03 3 1 4.89354
1984 03 3 0 23.7589
1985 03 3 1 77.594
1986 03 3 0 16.2331
1987 03 3 1 31.7519
1988 03 3 0 7.83896
1989 03 3 1 55.442
1990 03 3 0 9.58682
1991 03 3 0 9.56881
1992 03 3 1 59.8494
1993 03 3 1 23.302
1994 03 3 0 6.04116
1995 03 3 0 1.03494
1996 03 3 0 4.76895
1997 03 3 0 99.9431
1998 03 3 1 4.35431
1999 03 3 1 0.00698394
2000 03 3 1 1.46582
2001 03 3 0 49.3626
2002 03 3 0 12.8253
2003 03 3 1 8.19516
2004 03 3 0 9.70696
2005 03 3 0 39.4649
2006 03 3 1 18.747
2007 03 3 0 12.8673
2008 03 3 1 33.0091
2009 03 3 1 44.8445
2010 03 3 1 50.0346
2011 03 3 1 90.073
2012 03 3 0 8.89233
2013 03 3 0 4.54307
2014 03 3 0 23.6778
2015 03 3 1 32.1428
2016 03 3 1 12.0877
1982 04 4 0 13.8512
1983 04 4 1 8.01435
1984 04 4 0 4.79949
1985 04 4 1 25.511
1986 04 4 0 5.24587
1987 04 4 1 89.7987
1988 04 4 0 29.4666
1989 04 4 1 12.5276
1990 04 4 0 53.8679
1991 04 4 0 6.3346
1992 04 4 1 115.99
1993 04 4 1 24.8913
1994 04 4 0 1.23501
1995 04 4 0 0.0770808
1996 04 4 0 0.540192
1997 04 4 1 18.3004
1998 04 4 1 10.0278
1999 04 4 1 9.61991
2000 04 4 1 1595.39
2001 04 4 0 78.9315
2002 04 4 0 19.4426
2003 04 4 0 4.64702
2004 04 4 0 109.48
2005 04 4 1 102.624
2006 04 4 0 16.9358
2007 04 4 0 45.572
2008 04 4 1 6.05629
2009 04 4 0 8.92475
2010 04 4 1 52.4382
2011 04 4 1 18.9829
2012 04 4 0 2.23769
2013 04 4 0 0.359517
2014 04 4 0 3.24818
2015 04 4 1 13.0955
2016 04 4 1 23.0229
1982 02 0 0 23.0 22.1
1983 02 0 1 41.9 46.5
1984 02 0 0 13.9 26.1
1985 02 0 1 57.5 78.4
1986 02 0 1 17.9 18.4
1987 02 0 1 124.1 61.5
1988 02 0 0 16.2 13.5
1989 02 0 1 29.6 3.14
1990 02 0 0 11.0 26.3
1991 02 0 0 14.3 31.8
1992 02 0 1 427.4 129.2
1993 02 0 1 47.1 27.8
1994 02 0 0 3.27 1.33
1995 02 0 1 0.038 0.605
1996 02 0 1 0.728 2.36
1997 02 0 0 142.6 10.0
1998 02 0 1 9.54 8.87
1999 02 0 1 0.005 0.950
2000 02 0 1 1.89 0.329
2001 02 0 1 81.4 77.1
2002 02 0 0 9.27 6.30
2003 02 0 1 9.79 16.7
2004 02 0 0 5.35 2.42
2005 02 0 0 88.5 120.1
2006 02 0 1 12.3 14.9
2007 02 0 0 34.0 37.9
2008 02 0 1 13.8 20.5
2009 02 0 1 23.9 27.2
2010 02 0 1 51.0 13.4
2011 02 0 1 23.8 24.3
2012 02 0 1 1.93 3.66
2013 02 0 0 1.08 2.70
2014 02 0 0 10.7 8.35
2015 02 0 1 29.5 32.7
2016 02 0 1 25.6 39.7
1982 02 1 0 26.7758
1983 02 1 1 67.6151
1984 02 1 0 27.1191
1985 02 1 1 119.372
1986 02 1 1 25.4764
1987 02 1 1 66.5523
1988 02 1 0 12.824
1989 02 1 1 1.61029
1990 02 1 0 25.8654
1991 02 1 0 36.1457
1992 02 1 1 168.159
1993 02 1 1 38.6039
1994 02 1 0 2.6931
1995 02 1 1 2.24341
1996 02 1 1 2.67312
1997 02 1 0 9.40574
1998 02 1 1 11.0336
1999 02 1 1 1.18378
2000 02 1 1 0.333368
2001 02 1 1 90.8338
2002 02 1 0 6.53773
2003 02 1 1 16.3172
2004 02 1 0 1.63594
2005 02 1 0 124.391
2006 02 1 1 13.2285
2007 02 1 0 36.336
2008 02 1 1 25.49
2009 02 1 1 25.7878
2010 02 1 1 3.83568
2011 02 1 1 37.3427
2012 02 1 1 2.87502
2013 02 1 0 1.80768
2014 02 1 0 5.27922
2015 02 1 1 31.043
2016 02 1 1 25.8734
1982 03 2 0 13.5099
1983 03 2 1 11.8436
1984 03 2 0 19.8609
1985 03 2 1 43.0177
1986 03 2 0 10.5348
1987 03 2 1 27.9317
1988 03 2 0 29.8939
1989 03 2 1 65.1268
1990 03 2 0 12.2316
1991 03 2 0 15.0429
1992 03 2 1 65.9296
1993 03 2 1 24.9495
1994 03 2 0 6.49835
1995 03 2 0 2.17536
1996 03 2 0 5.86296
1997 03 2 0 56.1614
1998 03 2 1 8.73761
1999 03 2 1 0.0245795
2000 03 2 1 2.87174
2001 03 2 0 45.9207
2002 03 2 0 9.86711
2003 03 2 1 6.70419
2004 03 2 0 5.9359
2005 03 2 0 43.0393
2006 03 2 1 12.2468
2007 03 2 0 17.9909
2008 03 2 1 39.7367
2009 03 2 1 22.0163
2010 03 2 1 31.4435
2011 03 2 1 63.5725
2012 03 2 0 8.63045
2013 03 2 0 3.92306
2014 03 2 0 14.161
2015 03 2 1 22.853
2016 03 2 1 25.9198
1982 04 3 0 17.4305
1983 04 3 1 15.1922
1984 04 3 0 9.30637
1985 04 3 1 30.8421
1986 04 3 0 7.0878
1987 04 3 1 93.2382
1988 04 3 0 9.82788
1989 04 3 1 9.01578
1990 04 3 0 83.7476
1991 04 3 0 5.08946
1992 04 3 1 94.0373
1993 04 3 1 25.9582
1994 04 3 0 1.23765
1995 04 3 0 0.0496131
1996 04 3 0 0.218628
1997 04 3 1 26.0831
1998 04 3 1 14.4687
1999 04 3 1 8.30255
2000 04 3 1 2724.39
2001 04 3 0 142.372
2002 04 3 0 20.8424
2003 04 3 0 6.48816
2004 04 3 0 138.182
2005 04 3 1 50.6028
2006 04 3 0 11.2848
2007 04 3 0 54.9361
2008 04 3 1 6.53568
2009 04 3 0 9.34551
2010 04 3 1 41.0578
2011 04 3 1 16.8497
2012 04 3 0 1.9545
2013 04 3 0 0.37312
2014 04 3 0 4.46035
2015 04 3 1 23.1059
2016 04 3 1 15.7696
1982 05 4 1 40.8689
1983 05 4 1 197.702
1984 05 4 0 38.3967
1985 05 4 0 22.7819
1986 05 4 0 34.8262
1987 05 4 1 126.513
1988 05 4 1 64.3587
1989 05 4 1 25.0837
1990 05 4 0 71.1263
1991 05 4 1 66.2945
1992 05 4 1 118.244
1993 05 4 1 59.9624
1994 05 4 1 97.2239
1995 05 4 0 94.833
1996 05 4 0 42.2134
1997 05 4 1 104.131
1998 05 4 1 203.552
