M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,0.9030812,0,0.9288889,0,0.6666667,0.4570781,35,26,9
01,1,0.8854342,0.5282096,0.9049573,0.5206865,0.5833333,0.6919732,35,26,9
01,2,0.1882353,0,0.9220513,0.4232366,0,0,35,26,9
01,3,0.1663866,0,0.9275214,0.4399567,0,0.05800697,35,26,9
01,4,0.2112045,0,0.9323077,0.4307789,0,0.01922444,35,26,9

02,0,0.7736695,0.1162407,0.8012422,0.1895295,0.7252747,0,35,22,13
02,1,0.659944,0.08462182,0.7120271,0.1293608,0.5659341,0,35,22,13
02,2,0.6705882,0.1360121,0.7549407,0.2150027,0.6703297,0,35,22,13
02,3,0.2106443,0,0.770751,0,0.3351648,0.04611123,35,22,13
02,4,0.1226891,0,0.6826652,0,0.3021978,0.03303279,35,22,13

03,0,0.6422969,0,0.6323529,0,0.5748194,0.8411412,35,17,18
03,1,0.7061625,0.007531817,0.7009804,0,0.6821465,0.4311868,35,17,18
03,2,0.5333333,0.2787181,0.5245098,0.4211684,0.4757482,0.2506812,35,17,18
03,3,0.564986,0.2101517,0.6421569,0,0.4654283,0.3363743,35,17,18
03,4,0,0,0.6544118,0,0,0.02123994,35,17,18

04,0,0.8072829,0,0.7029412,0,0.7929825,0,35,16,19
04,1,0.7495798,0.4781479,0.6441176,0.5270899,0.7473684,0.3762303,35,16,19
04,2,0.787395,0.5128073,0.6558824,0.5617277,0.8017544,0.4109346,35,16,19
04,3,0.7434174,0.4374638,0.7323529,0.5648838,0.554386,0.1721221,35,16,19
04,4,0.7546218,0.4645455,0.6411765,0.5435771,0.6614035,0.2999686,35,16,19

05,0,0.4773109,0,0.1421569,0,0.7213622,0,35,17,18
05,1,0.4722689,0.1519703,0.4460784,0.6459232,0.4241486,0,35,17,18
05,2,0.2610644,0,0,0,0.4324045,0,35,17,18
05,3,0.3848739,0,0.1127451,0,0.4385965,0,35,17,18
05,4,0.377591,0,0.1053922,0,0.4138287,0,35,17,18

06,0,0.4133343,0,0.4029412,0,0.4894737,0.367315,35,16,19
06,1,0.4571749,0.06505775,0.5352941,0,0.3035088,0.3077132,35,16,19
06,2,0.2928777,0.04494863,0.2647059,0,0.2245614,0.2596314,35,16,19
06,3,0.3288746,0.01776211,0.3029412,0.003039448,0.2807018,0.06743129,35,16,19
06,4,0.3948456,0,0.5882353,0,0.2596491,0.03091075,35,16,19

07,0,0.5889768,0,0.5178571,0,0.5969925,0.1744637,35,15,20
07,1,0.572549,0.2666934,0.575,0,0.4676692,0.5714324,35,15,20
07,2,0.5759104,0.06724831,0.5428571,0,0.5654135,0.2612761,35,15,20
07,3,0.529972,0.1007421,0.475,0,0.5157895,0.3804637,35,15,20
07,4,0.5467787,0.03986205,0.5107143,0,0.5172932,0.2524908,35,15,20

08,0,0.7535014,0,0.4593407,0,0.8584416,0.6958898,35,14,21
08,1,0.5711485,0.1653713,0.367033,0,0.5714286,0.5765204,35,14,21
08,2,0.5431373,0,0.1604396,0,0.6506494,0.3989129,35,14,21
08,3,0.5890756,0,0.3274725,0,0.6454545,0.3154612,35,14,21
08,4,0.722409,0.02676509,0.5824176,0,0.7142857,0.1902992,35,14,21

09,0,0.6722689,0,0.6676987,0,0.6789216,0,35,18,17
09,1,0.5896359,0.2185127,0.6429309,0.3625179,0.5269608,0.1000526,35,18,17
09,2,0.5593838,0,0.3952528,0.2809423,0.6176471,0,35,18,17
09,3,0.4859944,0.09121893,0.4220846,0.2091358,0.5416667,0,35,18,17
09,4,0.447619,0,0.2961816,0.1533532,0.5416667,0,35,18,17

10,0,0.6459384,0,0.6590909,0.006100989,0.6783217,0,35,23,12
10,1,0.5212885,0,0.5563241,0.0169577,0.5104895,0,35,23,12
10,2,0.5352941,0,0.5434783,0,0.6153846,0,35,23,12
10,3,0.5605042,0,0.5998024,0.003207399,0.5454545,0,35,23,12
10,4,0.4851541,0,0.4891304,0,0.5104895,0,35,23,12

11,0,0.752381,0.1501776,0.8165217,0.2807922,0.6727273,0,35,24,11
11,1,0.7014006,0.03924938,0.7773913,0.04712296,0.5727273,0,35,24,11
11,2,0.6708683,0,0.7426087,0,0.6,0,35,24,11
11,3,0.5955182,0,0.6921739,0,0.4454545,0,35,24,11
11,4,0.7182576,0,0.7817391,0,0.6090909,0,35,24,11

12,0,0.842577,0,0.7747826,0,0.8909091,0,35,24,11
12,1,0.7210084,0,0.6817391,0,0.7909091,0.8311448,35,24,11
12,2,0.6319328,0,0.5765217,0,0.6818182,0.4219938,35,24,11
12,3,0.6717087,0,0.6269565,0,0.7818182,0.2132576,35,24,11
12,4,0.6436975,0,0.593913,0,0.5909091,0.4374476,35,24,11

