Y	M	L	ENSO	(m,m0)_(CV)
1982 01 0 0 53.8 44.7
1983 01 0 1 64.4 52.5
1984 01 0 1 33.2 30.7
1985 01 0 1 249.9 66.1
1986 01 0 1 26.9 29.2
1987 01 0 1 294.5 410.8
1988 01 0 1 71.2 193.4
1989 01 0 1 29.4 38.2
1990 01 0 0 30.2 14.5
1991 01 0 1 128.7 51.7
1992 01 0 1 689.4 1593
1993 01 0 0 78.3 86.3
1994 01 0 0 61.6 37.5
1995 01 0 1 42.3 37.8
1996 01 0 1 38.5 35.5
1997 01 0 0 39.8 69.1
1998 01 0 1 35.2 44.7
1999 01 0 1 14.9 14.9
2000 01 0 1 12.2 7.60
2001 01 0 1 20.2 22.6
2002 01 0 0 20.9 30.5
2003 01 0 1 15.5 30.6
2004 01 0 0 6.14 2.30
2005 01 0 1 58.4 100.3
2006 01 0 1 16.6 17.9
2007 01 0 1 13.5 5.98
2008 01 0 1 48.8 58.2
2009 01 0 1 12.4 12.3
2010 01 0 1 110.1 13.8
2011 01 0 1 34.0 37.4
2012 01 0 1 11.1 8.84
2013 01 0 0 8.60 4.33
2014 01 0 0 11.6 14.2
2015 01 0 1 9.35 13.1
2016 01 0 1 204.2 464.3
1982 01 1 0 55.5828
1983 01 1 1 67.1614
1984 01 1 1 38.228
1985 01 1 1 57.4635
1986 01 1 1 31.9866
1987 01 1 1 217.788
1988 01 1 1 201.003
1989 01 1 1 30.1977
1990 01 1 0 17.4574
1991 01 1 1 51.11
1992 01 1 1 515.918
1993 01 1 0 74.7815
1994 01 1 0 39.6753
1995 01 1 1 41.3667
1996 01 1 1 38.7988
1997 01 1 0 65.1036
1998 01 1 1 53.3721
1999 01 1 1 19.7903
2000 01 1 1 8.91177
2001 01 1 1 32.6705
2002 01 1 0 36.3748
2003 01 1 1 34.5114
2004 01 1 0 6.32133
2005 01 1 1 75.8081
2006 01 1 1 16.8502
2007 01 1 1 12.5871
2008 01 1 1 48.5239
2009 01 1 1 14.7676
2010 01 1 1 18.9367
2011 01 1 1 34.2234
2012 01 1 1 10.5876
2013 01 1 0 9.48223
2014 01 1 0 21.445
2015 01 1 1 18.3183
2016 01 1 1 150.712
1982 02 2 0 81.2058
1983 02 2 1 114.809
1984 02 2 0 43.0797
1985 02 2 1 392.769
1986 02 2 1 34.7513
1987 02 2 1 446.744
1988 02 2 0 123.424
1989 02 2 1 29.0804
1990 02 2 0 36.2476
1991 02 2 0 158.939
1992 02 2 1 759.294
1993 02 2 1 103.206
1994 02 2 0 89.1991
1995 02 2 1 59.2564
1996 02 2 1 50.3841
1997 02 2 0 57.6217
1998 02 2 1 60.5509
1999 02 2 1 20.1961
2000 02 2 1 11.1077
2001 02 2 1 19.8964
2002 02 2 0 25.4588
2003 02 2 1 18.3696
2004 02 2 0 6.97508
2005 02 2 0 76.7803
2006 02 2 1 19.2236
2007 02 2 0 17.2338
2008 02 2 1 71.9011
2009 02 2 1 17.2583
2010 02 2 1 153.295
2011 02 2 1 42.9249
2012 02 2 1 11.0012
2013 02 2 0 12.5709
2014 02 2 0 17.4742
2015 02 2 1 10.2481
2016 02 2 1 318.153
1982 03 3 0 41.019
1983 03 3 1 203.98
1984 03 3 0 35.47
1985 03 3 1 199.762
1986 03 3 0 30.7301
1987 03 3 1 240.764
1988 03 3 0 43.9209
1989 03 3 1 92.0139
1990 03 3 0 22.8346
1991 03 3 0 69.7
1992 03 3 1 914.347
1993 03 3 1 67.2586
1994 03 3 0 131.939
1995 03 3 0 40.3518
1996 03 3 0 44.5294
1997 03 3 0 201.857
1998 03 3 1 93.57
1999 03 3 1 43.2005
2000 03 3 1 23.7632
2001 03 3 0 145.822
2002 03 3 0 37.8417
2003 03 3 1 28.154
2004 03 3 0 27.9274
2005 03 3 0 68.9539
2006 03 3 1 15.9417
2007 03 3 0 19.7797
2008 03 3 1 61.1179
2009 03 3 1 26.5278
2010 03 3 1 125.824
2011 03 3 1 51.3365
2012 03 3 0 22.5422
2013 03 3 0 22.733
2014 03 3 0 16.1537
2015 03 3 1 15.3783
2016 03 3 1 61.9845
1982 04 4 0 62.0675
1983 04 4 1 93.6634
1984 04 4 0 31.2868
1985 04 4 1 141.681
1986 04 4 0 38.6037
1987 04 4 1 469.607
1988 04 4 0 50.5923
1989 04 4 1 52.6559
1990 04 4 0 156.363
1991 04 4 0 66.708
1992 04 4 1 548.451
1993 04 4 1 114.559
1994 04 4 0 50.3361
1995 04 4 0 44.4163
1996 04 4 0 31.3879
1997 04 4 1 150.437
1998 04 4 1 175.566
1999 04 4 1 34.7973
2000 04 4 1 105.482
2001 04 4 0 311.002
2002 04 4 0 94.494
2003 04 4 0 29.1993
2004 04 4 0 37.5288
2005 04 4 1 75.8532
2006 04 4 0 33.8717
2007 04 4 0 22.066
2008 04 4 1 109.834
2009 04 4 0 26.7939
2010 04 4 1 89.2589
2011 04 4 1 35.3694
2012 04 4 0 20.6781
2013 04 4 0 21.9114
2014 04 4 0 8.432
2015 04 4 1 19.4597
2016 04 4 1 26.3782
1982 02 0 0 49.8 53.8
1983 02 0 1 114.1 64.4
1984 02 0 0 28.4 33.2
1985 02 0 1 438.4 249.9
1986 02 0 1 29.2 26.9
1987 02 0 1 784.5 294.5
1988 02 0 0 52.9 71.2
1989 02 0 1 98.9 29.4
1990 02 0 0 24.6 30.2
1991 02 0 0 100.9 128.7
1992 02 0 1 4268 689.4
1993 02 0 1 87.3 78.3
1994 02 0 0 178.9 61.6
1995 02 0 1 34.6 42.3
1996 02 0 1 28.2 38.5
1997 02 0 0 291.0 39.8
1998 02 0 1 43.2 35.2
1999 02 0 1 25.4 14.9
2000 02 0 1 8.18 12.2
2001 02 0 1 227.5 20.2
2002 02 0 0 23.9 20.9
2003 02 0 1 17.8 15.5
2004 02 0 0 14.8 6.14
2005 02 0 0 84.1 58.4
2006 02 0 1 14.2 16.6
2007 02 0 0 13.2 13.5
2008 02 0 1 42.9 48.8
2009 02 0 1 10.2 12.4
2010 02 0 1 180.4 110.1
2011 02 0 1 38.1 34.0
2012 02 0 1 11.2 11.1
2013 02 0 0 8.32 8.60
2014 02 0 0 10.9 11.6
2015 02 0 1 8.62 9.35
2016 02 0 1 40.2 204.2
1982 02 1 0 66.0849
1983 02 1 1 123.522
1984 02 1 0 42.4154
1985 02 1 1 546.452
1986 02 1 1 40.7697
1987 02 1 1 434.492
1988 02 1 0 152.095
1989 02 1 1 36.5199
1990 02 1 0 40.1047
1991 02 1 0 131.734
1992 02 1 1 602.531
1993 02 1 1 96.9168
1994 02 1 0 114.617
1995 02 1 1 53.0123
1996 02 1 1 71.7201
1997 02 1 0 69.8849
1998 02 1 1 49.9875
1999 02 1 1 18.3737
2000 02 1 1 12.2737
2001 02 1 1 28.8007
2002 02 1 0 27.0397
2003 02 1 1 19.4422
2004 02 1 0 10.1589
2005 02 1 0 70.196
2006 02 1 1 23.09
2007 02 1 0 21.566
2008 02 1 1 64.1887
2009 02 1 1 17.0639
2010 02 1 1 154.896
2011 02 1 1 43.8192
2012 02 1 1 4.72404
2013 02 1 0 1.14702
2014 02 1 0 3.04821
2015 02 1 1 9.70498
2016 02 1 1 366.403
1982 03 2 0 48.3322
1983 03 2 1 102.654
1984 03 2 0 42.9357
1985 03 2 1 282.186
1986 03 2 0 47.2483
1987 03 2 1 314.192
1988 03 2 0 45.9365
1989 03 2 1 92.4054
1990 03 2 0 31.9499
1991 03 2 0 87.1431
1992 03 2 1 1042.4
1993 03 2 1 51.2617
1994 03 2 0 123.587
1995 03 2 0 45.3685
1996 03 2 0 44.8302
1997 03 2 0 163.374
1998 03 2 1 49.1049
1999 03 2 1 33.4119
2000 03 2 1 15.1699
2001 03 2 0 150.522
2002 03 2 0 31.1716
2003 03 2 1 27.6261
2004 03 2 0 26.4968
2005 03 2 0 83.9708
2006 03 2 1 26.0992
2007 03 2 0 23.5145
2008 03 2 1 38.1842
2009 03 2 1 34.5966
2010 03 2 1 142.357
2011 03 2 1 48.4149
2012 03 2 0 21.4385
2013 03 2 0 17.4247
2014 03 2 0 20.8023
2015 03 2 1 14.468
2016 03 2 1 44.821
1982 04 3 0 48.1555
1983 04 3 1 69.9729
1984 04 3 0 21.7565
1985 04 3 1 94.0416
1986 04 3 0 52.6897
1987 04 3 1 535.82
1988 04 3 0 43.5877
1989 04 3 1 48.4084
1990 04 3 0 147.789
1991 04 3 0 52.3263
1992 04 3 1 394.194
1993 04 3 1 88.6669
1994 04 3 0 60.4372
1995 04 3 0 92.2235
1996 04 3 0 25.2788
1997 04 3 1 144.88
1998 04 3 1 170.408
1999 04 3 1 52.1331
2000 04 3 1 164.456
2001 04 3 0 165.913
2002 04 3 0 93.6104
2003 04 3 0 64.4703
2004 04 3 0 46.9149
2005 04 3 1 62.5093
2006 04 3 0 31.7561
2007 04 3 0 36.0043
2008 04 3 1 146.614
2009 04 3 0 23.1337
2010 04 3 1 110.225
2011 04 3 1 29.2279
2012 04 3 0 26.7281
2013 04 3 0 19.8472
2014 04 3 0 6.02537
2015 04 3 1 16.8003
2016 04 3 1 41.2003
1982 05 4 1 57.8871
1983 05 4 1 127.996
1984 05 4 0 47.8797
1985 05 4 0 1107.09
1986 05 4 0 133.115
1987 05 4 1 621.048
1988 05 4 1 85.5207
1989 05 4 1 67.2817
1990 05 4 0 1015.09
1991 05 4 1 42.8421
1992 05 4 1 1708.47
1993 05 4 1 131.697
1994 05 4 1 34.8036
1995 05 4 0 98.1108
1996 05 4 0 68.0041
1997 05 4 1 453.293
1998 05 4 1 116.235
1999 05 4 1 104.166
2000 05 4 0 14.858
2001 05 4 0 90.7056
2002 05 4 1 232.734
