M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,NA,NA,NA,NA,NA,NA,35,26,9
01,1,0.8403361,0.7859587,0.8345299,0.7845129,0.8833333,0.9126028,35,26,9
01,2,0.3039216,0,0.825641,0.779355,0.45,0.7505843,35,26,9
01,3,0.289916,0,0.8105983,0.8077228,0.4,0.7404585,35,26,9
01,4,0.3271709,0,0.8509402,0.7626325,0.4833333,0.7605606,35,26,9

02,0,NA,NA,NA,NA,NA,NA,35,22,13
02,1,0.8512605,0.1939924,0.83738,0.1902246,0.8901099,0.8203381,35,22,13
02,2,0.8473389,0.1991415,0.8464145,0.196012,0.8461538,0.7987973,35,22,13
02,3,0.2106443,0,0.8418972,0.1966744,0.01098901,0.7032171,35,22,13
02,4,0.2168067,0,0.822699,0.250712,0.07692308,0.7029522,35,22,13

03,0,NA,NA,NA,NA,NA,NA,35,17,18
03,1,0.7333847,0.7145972,0.7671569,0.7468255,0.7626419,0.5251574,35,17,18
03,2,0.7118146,0.7209314,0.7377451,0.7537084,0.6945304,0.4968426,35,17,18
03,3,0.716997,0.6762663,0.7647059,0.7086313,0.6904025,0.4931502,35,17,18
03,4,0.1875481,0,0.7671569,0.7716725,0.1929825,0.3912791,35,17,18

04,0,NA,NA,NA,NA,NA,NA,35,16,19
04,1,0.5719888,0.08887245,0.3470588,0.05050553,0.4929825,0.1814232,35,16,19
04,2,0.5876751,0,0.3529412,0,0.4859649,0.2443636,35,16,19
04,3,0.505042,0.07991838,0.1029412,0,0.5298246,0.2322008,35,16,19
04,4,0.5103641,0.04785296,0.2470588,0,0.5666667,0.1952567,35,16,19

05,0,NA,NA,NA,NA,NA,NA,35,17,18
05,1,0.6817927,0,0.4803922,0,0.8183695,0.458687,35,17,18
05,2,0.6011204,0.1080195,0.3897059,0.03562954,0.7213622,0.2932641,35,17,18
05,3,0.564986,0.2381744,0.3161765,0,0.6594427,0.7410474,35,17,18
05,4,0.6462185,0.1002979,0.3382353,0,0.7626419,0.4911185,35,17,18

06,0,NA,NA,NA,NA,NA,NA,35,16,19
06,1,0.6560224,0.1994342,0.6882353,0.2831581,0.545614,0.1481709,35,16,19
06,2,0.5952381,0.1473046,0.4323529,0.1974297,0.5403509,0.1521656,35,16,19
06,3,0.6207283,0.2204797,0.4735294,0.1125704,0.5684211,0.660547,35,16,19
06,4,0.5313725,0.1483415,0.3823529,0.1349653,0.4666667,0.261706,35,16,19

07,0,NA,NA,NA,NA,NA,NA,35,15,20
07,1,0.5737303,0.3049472,0.5428571,0.2666754,0.5854027,0.5157525,35,15,20
07,2,0.5978284,0.008619568,0.5892857,0.4713186,0.6373215,0,35,15,20
07,3,0.6287916,0,0.6464286,0.2427927,0.6455984,0,35,15,20
07,4,0.6338354,0,0.5357143,0.2074102,0.7065465,0,35,15,20

08,0,NA,NA,NA,NA,NA,NA,35,14,21
08,1,0.4151645,0,0.4922785,0.4808533,0.4018209,0,35,14,21
08,2,0.3093024,0.008204399,0.3951473,0.4405389,0.2951888,0.008447538,35,14,21
08,3,0.1719907,0,0.1611495,0.3659148,0.2665802,0,35,14,21
08,4,0.2927352,0,0.4702033,0.4623016,0.2353708,0,35,14,21

09,0,NA,NA,NA,NA,NA,NA,35,18,17
09,1,0.6112125,0.1950795,0.5892673,0.3979692,0.6117955,0.3958419,35,18,17
09,2,0.5446392,0,0.4633643,0,0.5626553,0,35,18,17
09,3,0.6327962,0,0.5521156,0.1244178,0.6658497,0,35,18,17
09,4,0.5274003,0.2495109,0.2363261,0,0.7887002,0.5561521,35,18,17

10,0,NA,NA,NA,NA,NA,NA,35,23,12
10,1,0.3969188,0.3295305,0.4140316,0.329821,0.3076923,0.694361,35,23,12
10,2,0.437535,0,0.3833992,0,0.4335664,0.6960708,35,23,12
10,3,0.3408964,0.03995104,0.3507905,0.0439677,0.3146853,0.6128494,35,23,12
10,4,0.3607843,0,0.3527668,0,0.1818182,0.6957556,35,23,12

11,0,NA,NA,NA,NA,NA,NA,35,24,11
11,1,0.670028,0.1317387,0.6730435,0.127447,0.6363636,0.3845472,35,24,11
11,2,0.7184874,0.1564145,0.7130435,0.1450716,0.8363636,0.6109987,35,24,11
11,3,0.6445378,0.1012547,0.5973913,0.09232613,0.6545455,0.4826822,35,24,11
11,4,0.6036415,0.0595834,0.6582609,0.05673429,0.3818182,0.3656283,35,24,11

12,0,NA,NA,NA,NA,NA,NA,35,24,11
12,1,0.7453782,0.03514053,0.6921739,0.02921884,0.9,0.9381882,35,24,11
12,2,0.7392157,0.0222517,0.6669565,0.01563694,0.9636364,0.9586524,35,24,11
12,3,0.8280112,0.01601394,0.8113043,0.009286842,0.8727273,0.9469482,35,24,11
12,4,0.8358543,0.04690329,0.8573913,0.04143073,0.8,0.9394836,35,24,11

