M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,NA,NA,NA,NA,NA,NA,35,26,9
01,1,0.887395,0.504898,0.9131624,0.4999602,0.5833333,0.7841656,35,26,9
01,2,0.1470588,0,0.9329915,0.4827861,0,0.3413864,35,26,9
01,3,0.1686275,0,0.9193162,0.4535015,0,0.3809605,35,26,9
01,4,0.1588235,0,0.9213675,0.4671325,0,0.4223922,35,26,9

02,0,NA,NA,NA,NA,NA,NA,35,22,13
02,1,0.7140056,0.03934338,0.7504235,0.06090019,0.6813187,0,35,22,13
02,2,0.6871148,0.07698078,0.7323546,0.1196847,0.7252747,0,35,22,13
02,3,0.1364146,0,0.7142857,0.02203691,0.2142857,0.02208476,35,22,13
02,4,0.1159664,0,0.7255788,0,0.1538462,0.025256,35,22,13

03,0,NA,NA,NA,NA,NA,NA,35,17,18
03,1,0.6915966,0.1824028,0.7401961,0.4375954,0.626419,0.2402218,35,17,18
03,2,0.5764706,0.2167813,0.5588235,0.5855034,0.5170279,0.1891477,35,17,18
03,3,0.5837535,0.2929221,0.7009804,0.5532426,0.4798762,0.2910093,35,17,18
03,4,0,0,0.7083333,0.3740766,0,0.01612055,35,17,18

04,0,NA,NA,NA,NA,NA,NA,35,16,19
04,1,0.7697479,0.4459175,0.6470588,0.5019174,0.7561404,0.3347995,35,16,19
04,2,0.789916,0.4631408,0.6058824,0.5218384,0.8035088,0.3570403,35,16,19
04,3,0.747619,0.4305311,0.6941176,0.5223935,0.6333333,0.2715333,35,16,19
04,4,0.7591036,0.4551466,0.6294118,0.5319505,0.6964912,0.3126931,35,16,19

05,0,NA,NA,NA,NA,NA,NA,35,17,18
05,1,0.4478992,0.1166223,0.4583333,0.51954,0.5500516,0.01503165,35,17,18
05,2,0.3190476,0,0,0,0.5954592,0.01340248,35,17,18
05,3,0.342577,0,0,0,0.5314757,0.003678111,35,17,18
05,4,0.3526611,0,0.02205882,0,0.5397317,0,35,17,18

06,0,NA,NA,NA,NA,NA,NA,35,16,19
06,1,0.5441558,0.07135783,0.5735294,0.03365774,0.4087719,0.3043974,35,16,19
06,2,0.4652987,0.06624291,0.3764706,0.0502925,0.4421053,0.2337805,35,16,19
06,3,0.4559143,0.03558945,0.3676471,0.01721357,0.4350877,0.2271349,35,16,19
06,4,0.6448631,0.03950352,0.6205882,0.03165463,0.5315789,0.1869918,35,16,19

07,0,NA,NA,NA,NA,NA,NA,35,15,20
07,1,0.6196078,0.140219,0.5642857,0.0211531,0.5172932,0.3427111,35,15,20
07,2,0.5851541,0.0707426,0.45,0,0.6045113,0.2162537,35,15,20
07,3,0.4943978,0.05220267,0.3464286,0,0.5353383,0.2034628,35,15,20
07,4,0.5372549,0.04518321,0.5642857,0,0.5263158,0.1702593,35,15,20

08,0,NA,NA,NA,NA,NA,NA,35,14,21
08,1,0.6809524,0.1698518,0.3846154,0,0.7597403,0.4409682,35,14,21
08,2,0.6008403,0.05012082,0.2263736,0,0.7337662,0.2850608,35,14,21
08,3,0.5456583,0.0933179,0.2483516,0,0.6220779,0.328628,35,14,21
08,4,0.7058824,0.09934445,0.4813187,0,0.6987013,0.2777349,35,14,21

09,0,NA,NA,NA,NA,NA,NA,35,18,17
09,1,0.6394958,0.3314407,0.6945304,0.3667005,0.5759804,0.3184873,35,18,17
09,2,0.5490196,0.2205649,0.4881321,0.2601962,0.5833333,0.196612,35,18,17
09,3,0.4834734,0.1712597,0.3952528,0.2448028,0.5588235,0.1160741,35,18,17
09,4,0.4529412,0.1791892,0.3106295,0.2284401,0.5882353,0.1473637,35,18,17

10,0,NA,NA,NA,NA,NA,NA,35,23,12
10,1,0.5565826,0,0.5849802,0.02851284,0.5944056,0,35,23,12
10,2,0.5285714,0,0.5533597,0.01864777,0.6083916,0,35,23,12
10,3,0.5347339,0,0.5642292,0.03276432,0.6083916,0,35,23,12
10,4,0.5414566,0,0.5573123,0.01695873,0.6083916,0,35,23,12

11,0,NA,NA,NA,NA,NA,NA,35,24,11
11,1,0.7257703,0.0170009,0.7669565,0.02665616,0.6181818,0,35,24,11
11,2,0.7145658,0,0.773913,0.001991498,0.7181818,0,35,24,11
11,3,0.6882353,0,0.7521739,0.009615906,0.6454545,0,35,24,11
11,4,0.7215686,0.003189729,0.786087,0.01514213,0.6181818,0,35,24,11

12,0,NA,NA,NA,NA,NA,NA,35,24,11
12,1,0.6745098,0,0.6626087,0,0.7090909,0.8475939,35,24,11
12,2,0.7070028,0,0.6478261,0,0.7090909,0.6831605,35,24,11
12,3,0.7296919,0,0.6591304,0,0.8727273,0.6770601,35,24,11
12,4,0.7837535,0.008149849,0.7147826,0,0.8636364,0.8625221,35,24,11

